filename: de.szalkowski.activitylauncher-1.6.2.log
leak-148: yes
leak-167: yes
leak-152: yes
leak-105: yes
leak-58: yes
leak-20: yes
leak-88: yes
leak-133: yes
leak-150: yes
leak-157: yes
leak-22: yes
leak-80: yes
leak-32: yes
leak-97: yes
leak-52: yes
leak-45: yes
leak-107: yes
leak-93: yes
leak-136: yes
leak-151: yes
leak-91: yes
leak-137: yes
leak-96: yes
leak-140: yes
leak-46: yes
leak-171: yes
leak-51: yes
leak-38: yes
leak-172: yes
leak-111: yes
leak-158: yes
leak-86: yes
leak-131: yes
leak-34: yes
leak-87: yes
leak-33: yes
leak-132: yes
leak-101: yes
leak-106: yes
leak-36: yes
leak-165: yes
leak-127: yes
leak-41: yes
leak-139: yes
leak-92: yes
leak-134: yes
leak-54: yes
leak-89: yes
leak-155: yes
leak-112: yes
leak-160: yes
leak-35: yes
leak-128: yes
leak-100: yes
leak-23: yes
leak-82: yes
leak-55: yes
leak-81: yes
leak-95: yes
leak-102: yes
leak-156: yes
leak-126: yes
leak-21: yes
leak-166: yes
leak-149: yes
leak-146: yes
leak-57: yes
leak-44: yes
leak-90: yes
leak-53: yes
leak-104: yes
leak-108: yes
leak-94: yes
leak-29: yes
leak-59: yes
leak-30: yes
leak-25: yes
leak-56: yes
leak-26: yes
leak-163: yes
leak-143: yes
leak-141: yes
leak-31: yes
leak-84: yes
leak-154: yes
leak-98: yes
leak-164: yes
leak-28: yes
leak-47: yes
leak-110: yes
leak-135: yes
leak-39: yes
leak-79: yes
leak-99: yes
leak-109: yes
total leaks: 39461 unique leaks: 95 unique leaks in both logs: 95 anomalous leak count: 0
