filename: org.androidpn.client-0.5.10.log
leak-9: yes
leak-148: yes
leak-33: yes
leak-6: yes
leak-14: yes
leak-136: yes
leak-151: yes
leak-373: yes
leak-378: yes
leak-50: yes
leak-8: yes
leak-147: yes
leak-23: yes
leak-117: yes
leak-17: yes
leak-21: yes
leak-114: yes
leak-18: yes
leak-10: yes
leak-19: yes
leak-372: yes
leak-46: yes
leak-15: yes
leak-0: yes
leak-377: yes
leak-131: yes
leak-134: yes
leak-152: yes
leak-22: yes
leak-5: yes
leak-45: yes
leak-34: yes
leak-116: yes
leak-7: yes
leak-150: yes
leak-20: yes
leak-154: yes
leak-26: yes
leak-121: yes
leak-118: yes
leak-42: yes
leak-16: yes
leak-146: yes
leak-149: yes
leak-256: yes
leak-155: yes
leak-130: yes
leak-27: yes
leak-120: yes
leak-48: yes
leak-374: yes
total leaks: 224 unique leaks: 51 unique leaks in both logs: 51 anomalous leak count: 0
