filename: protect.babymonitor-0.2.log
leak-22: yes
leak-67: yes
leak-1: yes
leak-47: yes
leak-9: yes
leak-4: yes
leak-54: yes
leak-75: yes
leak-25: yes
leak-50: yes
leak-81: yes
leak-60: yes
leak-80: yes
leak-76: yes
leak-73: yes
leak-5: yes
leak-56: yes
leak-49: yes
leak-10: yes
leak-3: yes
leak-82: yes
leak-78: yes
leak-37: yes
leak-0: yes
leak-71: yes
leak-13: yes
leak-61: yes
leak-39: yes
leak-38: yes
leak-69: yes
leak-74: yes
leak-11: yes
leak-51: yes
leak-52: yes
leak-58: yes
leak-7: yes
leak-46: yes
leak-36: yes
leak-2: yes
leak-77: yes
leak-55: yes
leak-68: yes
leak-53: yes
leak-70: yes
total leaks: 95 unique leaks: 44 unique leaks in both logs: 44 anomalous leak count: 0
