filename: com.secuso.privacyFriendlyCodeScanner-1.7.log
leak-24: yes
leak-21: yes
leak-22: yes
leak-12: yes
leak-52: yes
leak-36: yes
leak-44: yes
leak-45: yes
leak-51: yes
leak-14: yes
leak-20: yes
leak-97: yes
leak-48: yes
leak-46: yes
leak-1: yes
leak-25: yes
leak-47: yes
leak-19: yes
leak-23: yes
leak-18: yes
leak-0: yes
leak-26: yes
leak-3: yes
leak-34: yes
leak-13: yes
leak-29: yes
leak-9: yes
leak-37: yes
leak-39: yes
leak-43: yes
leak-10: yes
leak-42: yes
leak-98: yes
leak-30: yes
leak-53: yes
leak-27: yes
total leaks: 1668 unique leaks: 36 unique leaks in both logs: 36 anomalous leak count: 0
