/home/amit/muse/output/2048/schemas/REACHABILITY/2048
In file: MainActivity.java
Input operator: REACHABILITY
leak-0: <MainActivity.<init>>
leak-1: MainActivity.onCreate
leak-2: MainActivity.onCreate
leak-3: MainActivity.onCreate
leak-4: MainActivity.onCreate
leak-5: MainActivity.onCreate
leak-6: MainActivity.onCreate
leak-7: MainActivity.onCreate
leak-8: MainActivity.onCreate
leak-9: <1.<init>>
leak-10: 1.onTouch
leak-11: 1.onTouch
leak-12: 1.onTouch
leak-13: MainActivity.onSaveInstanceState
leak-14: MainActivity.onCreateOptionsMenu
leak-15: MainActivity.saveFullScreen
leak-16: MainActivity.isFullScreen
leak-17: MainActivity.applyFullScreen
leak-18: MainActivity.applyFullScreen
leak-19: MainActivity.applyFullScreen
leak-20: MainActivity.onConfigurationChanged
leak-21: MainActivity.onBackPressed
leak-22: MainActivity.onBackPressed
leak-23: MainActivity.onBackPressed
