/home/amit/muse/output/LocationShare/schemas/REACHABILITY/LocationShare
In file: MainActivity.java
Input operator: REACHABILITY
leak-0: <MainActivity.<init>>
leak-1: <1.<init>>
leak-2: 1.onLocationChanged
leak-3: 1.onProviderEnabled
leak-4: 1.onProviderDisabled
leak-5: 1.onStatusChanged
leak-6: MainActivity.onCreate
leak-7: MainActivity.onStop
leak-8: MainActivity.onStop
leak-9: MainActivity.onStop
leak-10: MainActivity.onResume
leak-11: MainActivity.onRequestPermissionsResult
leak-12: MainActivity.onRequestPermissionsResult
leak-13: MainActivity.onRequestPermissionsResult
leak-14: MainActivity.updateLocation
leak-15: MainActivity.updateLocation
leak-16: MainActivity.updateLocation
leak-17: <onClickShareListener.<init>>
leak-18: onClickShareListener.onClick
leak-19: <onClickCopyListener.<init>>
leak-20: onClickCopyListener.onClick
leak-21: onClickCopyListener.onClick
leak-22: onClickCopyListener.onClick
leak-23: MainActivity.shareLocation
leak-24: MainActivity.shareLocation
leak-25: MainActivity.copyLocation
leak-26: MainActivity.copyLocation
leak-27: MainActivity.viewLocation
leak-28: MainActivity.viewLocation
leak-29: MainActivity.openLocationSettings
leak-30: MainActivity.openLocationSettings
leak-31: MainActivity.startRequestingLocation
leak-32: MainActivity.startRequestingLocation
leak-33: MainActivity.startRequestingLocation
leak-34: MainActivity.validLocation
leak-35: MainActivity.validLocation
leak-36: MainActivity.validLocation
leak-37: MainActivity.validLocation
leak-38: MainActivity.getAccuracy
leak-39: MainActivity.getAccuracy
leak-40: MainActivity.getAccuracy
leak-41: MainActivity.getAccuracy
leak-42: MainActivity.getLatitude
leak-43: MainActivity.getLongitude
leak-44: MainActivity.formatLocation
