filename: de.szalkowski.activitylauncher-1.6.2.log
leak-123: yes
leak-151: yes
leak-163: yes
leak-53: yes
leak-149: yes
leak-173: yes
leak-121: yes
leak-114: yes
leak-117: yes
leak-193: yes
leak-26: yes
leak-182: yes
leak-24: yes
leak-179: yes
leak-33: yes
leak-41: yes
leak-162: yes
leak-177: yes
leak-98: yes
leak-161: yes
leak-57: yes
leak-174: yes
leak-152: yes
leak-51: yes
leak-25: yes
leak-196: yes
leak-107: yes
leak-194: yes
leak-130: yes
leak-116: yes
leak-50: yes
leak-109: yes
leak-158: yes
leak-159: yes
leak-43: yes
leak-36: yes
leak-176: yes
leak-185: yes
leak-67: yes
leak-103: yes
leak-115: yes
leak-172: yes
leak-195: yes
leak-101: yes
leak-202: yes
leak-197: yes
leak-38: yes
leak-30: yes
leak-110: yes
leak-124: yes
leak-65: yes
leak-66: yes
leak-186: yes
leak-58: yes
leak-68: yes
leak-113: yes
leak-160: yes
leak-34: yes
leak-99: yes
leak-44: yes
leak-167: yes
leak-112: yes
leak-60: yes
leak-131: yes
leak-100: yes
leak-126: yes
leak-201: yes
leak-127: yes
leak-69: yes
leak-165: yes
leak-178: yes
leak-37: yes
leak-62: yes
leak-106: yes
leak-189: yes
leak-35: yes
leak-180: yes
leak-192: yes
leak-169: yes
leak-187: yes
leak-61: yes
leak-46: yes
leak-134: yes
leak-40: yes
leak-49: yes
leak-122: yes
leak-156: yes
leak-31: yes
leak-59: yes
leak-133: yes
leak-28: yes
leak-183: yes
leak-39: yes
leak-150: yes
leak-63: yes
leak-132: yes
leak-166: yes
leak-119: yes
leak-128: yes
leak-108: yes
leak-184: yes
leak-157: yes
leak-118: yes
leak-120: yes
leak-97: yes
leak-105: yes
leak-52: yes
leak-129: yes
leak-111: yes
leak-64: yes
leak-27: yes
total leaks: 55686 unique leaks: 111 unique leaks in both logs: 111 anomalous leak count: 0
