filename: org.androidpn.client-0.5.10.log
leak-18: yes
leak-12: yes
leak-165: yes
leak-30: yes
leak-137: yes
leak-143: yes
leak-25: yes
leak-23: yes
leak-148: yes
leak-51: yes
leak-168: yes
leak-153: yes
leak-422: yes
leak-20: yes
leak-53: yes
leak-0: yes
leak-173: yes
leak-174: yes
leak-1: yes
leak-172: yes
leak-132: yes
leak-151: yes
leak-163: yes
leak-169: yes
leak-10: yes
leak-8: yes
leak-164: yes
leak-31: yes
leak-147: yes
leak-24: yes
leak-133: yes
leak-37: yes
leak-427: yes
leak-38: yes
leak-428: yes
leak-136: yes
leak-26: yes
leak-27: yes
leak-134: yes
leak-11: yes
leak-19: yes
leak-7: yes
leak-50: yes
leak-424: yes
leak-129: yes
leak-167: yes
leak-421: yes
leak-166: yes
leak-56: yes
leak-21: yes
leak-46: yes
leak-55: yes
leak-286: yes
leak-9: yes
leak-423: yes
leak-130: yes
leak-22: yes
total leaks: 256 unique leaks: 57 unique leaks in both logs: 57 anomalous leak count: 0
