/home/amit/muse/output/androidpn/schemas/REACHABILITY/androidpn
In file: onClickListener.java
Input operator: REACHABILITY
leak-0: <onClickListener.<init>>
leak-1: onClickListener.onClickListener
leak-2: onClickListener.onItemClick
leak-3: onClickListener.onItemClick
leak-4: onClickListener.onItemClick
leak-5: onClickListener.onItemClick
In file: EasyPermissions.java
Input operator: REACHABILITY
leak-6: <EasyPermissions.<init>>
leak-7: EasyPermissions.hasPermissions
leak-8: EasyPermissions.hasPermissions
leak-9: EasyPermissions.hasPermissions
leak-10: EasyPermissions.requestPermissions
leak-11: EasyPermissions.requestPermissions
leak-12: EasyPermissions.requestPermissions
leak-13: EasyPermissions.requestPermissions
leak-14: <1.<init>>
leak-15: 1.onClick
leak-16: <1.<init>>
leak-17: 1.onClick
leak-18: EasyPermissions.requestPermissions
leak-19: EasyPermissions.onRequestPermissionsResult
leak-20: EasyPermissions.onRequestPermissionsResult
leak-21: EasyPermissions.onRequestPermissionsResult
leak-22: EasyPermissions.onRequestPermissionsResult
leak-23: EasyPermissions.onRequestPermissionsResult
leak-24: EasyPermissions.onRequestPermissionsResult
leak-25: EasyPermissions.onRequestPermissionsResult
leak-26: EasyPermissions.shouldShowRequestPermissionRationale
leak-27: EasyPermissions.shouldShowRequestPermissionRationale
leak-28: EasyPermissions.shouldShowRequestPermissionRationale
leak-29: EasyPermissions.shouldShowRequestPermissionRationale
leak-30: EasyPermissions.executePermissionsRequest
leak-31: EasyPermissions.executePermissionsRequest
leak-32: EasyPermissions.executePermissionsRequest
leak-33: EasyPermissions.getActivity
leak-34: EasyPermissions.getActivity
leak-35: EasyPermissions.getActivity
leak-36: EasyPermissions.getActivity
leak-37: EasyPermissions.runAnnotatedMethods
leak-38: EasyPermissions.runAnnotatedMethods
leak-39: EasyPermissions.runAnnotatedMethods
leak-40: EasyPermissions.runAnnotatedMethods
leak-41: EasyPermissions.runAnnotatedMethods
leak-42: EasyPermissions.runAnnotatedMethods
leak-43: EasyPermissions.runAnnotatedMethods
leak-44: EasyPermissions.runAnnotatedMethods
leak-45: EasyPermissions.runAnnotatedMethods
leak-46: EasyPermissions.checkCallingObjectSuitability
leak-47: EasyPermissions.checkCallingObjectSuitability
leak-48: EasyPermissions.checkCallingObjectSuitability
In file: fixTheme.java
Input operator: REACHABILITY
leak-49: <fixTheme.<init>>
leak-50: fixTheme.getThemePref
leak-51: fixTheme.getThemePref
leak-52: fixTheme.getThemePref
leak-53: fixTheme.fixTheme
leak-54: fixTheme.fixTheme
In file: SwipeDismissListViewTouchListener.java
Input operator: REACHABILITY
leak-55: <SwipeDismissListViewTouchListener.<init>>
leak-56: SwipeDismissListViewTouchListener.SwipeDismissListViewTouchListener
leak-57: SwipeDismissListViewTouchListener.setEnabled
leak-58: SwipeDismissListViewTouchListener.makeScrollListener
leak-59: <1.<init>>
leak-60: 1.onScrollStateChanged
leak-61: 1.onScroll
leak-62: SwipeDismissListViewTouchListener.onTouch
leak-63: SwipeDismissListViewTouchListener.onTouch
leak-64: SwipeDismissListViewTouchListener.onTouch
leak-65: SwipeDismissListViewTouchListener.onTouch
leak-66: SwipeDismissListViewTouchListener.onTouch
leak-67: SwipeDismissListViewTouchListener.onTouch
leak-68: SwipeDismissListViewTouchListener.onTouch
leak-69: SwipeDismissListViewTouchListener.onTouch
leak-70: SwipeDismissListViewTouchListener.onTouch
leak-71: SwipeDismissListViewTouchListener.onTouch
leak-72: SwipeDismissListViewTouchListener.onTouch
leak-73: SwipeDismissListViewTouchListener.onTouch
leak-74: SwipeDismissListViewTouchListener.onTouch
leak-75: SwipeDismissListViewTouchListener.onTouch
leak-76: SwipeDismissListViewTouchListener.onTouch
leak-77: SwipeDismissListViewTouchListener.onTouch
leak-78: SwipeDismissListViewTouchListener.onTouch
leak-79: SwipeDismissListViewTouchListener.onTouch
leak-80: <1.<init>>
leak-81: 1.onAnimationEnd
leak-82: SwipeDismissListViewTouchListener.onTouch
leak-83: SwipeDismissListViewTouchListener.onTouch
leak-84: SwipeDismissListViewTouchListener.onTouch
leak-85: SwipeDismissListViewTouchListener.onTouch
leak-86: SwipeDismissListViewTouchListener.onTouch
leak-87: SwipeDismissListViewTouchListener.onTouch
leak-88: SwipeDismissListViewTouchListener.onTouch
leak-89: <PendingDismissData.<init>>
leak-90: PendingDismissData.PendingDismissData
leak-91: PendingDismissData.compareTo
leak-92: SwipeDismissListViewTouchListener.performDismiss
leak-93: <1.<init>>
leak-94: 1.onAnimationEnd
leak-95: 1.onAnimationEnd
leak-96: 1.onAnimationEnd
leak-97: 1.onAnimationEnd
leak-98: <1.<init>>
leak-99: 1.onAnimationUpdate
In file: AfterPermissionGranted.java
Input operator: REACHABILITY
In file: SwipeDismissTouchListener.java
Input operator: REACHABILITY
leak-100: <SwipeDismissTouchListener.<init>>
leak-101: SwipeDismissTouchListener.SwipeDismissTouchListener
leak-102: SwipeDismissTouchListener.onTouch
leak-103: SwipeDismissTouchListener.onTouch
leak-104: SwipeDismissTouchListener.onTouch
leak-105: SwipeDismissTouchListener.onTouch
leak-106: SwipeDismissTouchListener.onTouch
leak-107: SwipeDismissTouchListener.onTouch
leak-108: SwipeDismissTouchListener.onTouch
leak-109: SwipeDismissTouchListener.onTouch
leak-110: SwipeDismissTouchListener.onTouch
leak-111: SwipeDismissTouchListener.onTouch
leak-112: <1.<init>>
leak-113: 1.onAnimationEnd
leak-114: SwipeDismissTouchListener.onTouch
leak-115: SwipeDismissTouchListener.onTouch
leak-116: SwipeDismissTouchListener.onTouch
leak-117: SwipeDismissTouchListener.onTouch
leak-118: SwipeDismissTouchListener.onTouch
leak-119: SwipeDismissTouchListener.onTouch
leak-120: SwipeDismissTouchListener.onTouch
leak-121: SwipeDismissTouchListener.onTouch
leak-122: SwipeDismissTouchListener.onTouch
leak-123: SwipeDismissTouchListener.onTouch
leak-124: SwipeDismissTouchListener.performDismiss
leak-125: <1.<init>>
leak-126: 1.onAnimationEnd
leak-127: <1.<init>>
leak-128: 1.onAnimationUpdate
In file: MainActivity.java
Input operator: REACHABILITY
leak-129: <MainActivity.<init>>
leak-130: MainActivity.onCreate
leak-131: MainActivity.onCreate
leak-132: MainActivity.onCreate
leak-133: MainActivity.set
leak-134: MainActivity.set
leak-135: MainActivity.set
leak-136: MainActivity.resetList
leak-137: MainActivity.resetList
leak-138: MainActivity.resetList
leak-139: MainActivity.resetList
leak-140: MainActivity.resetList
leak-141: MainActivity.resetList
leak-142: MainActivity.resetList
leak-143: <1.<init>>
leak-144: 1.canDismiss
leak-145: 1.onDismiss
leak-146: 1.onDismiss
