filename: protect.babymonitor-0.2.log
leak-48: yes
leak-13: yes
leak-18: yes
leak-91: yes
leak-96: yes
leak-71: yes
leak-94: yes
leak-40: yes
leak-64: yes
leak-76: yes
leak-60: yes
leak-70: yes
leak-4: yes
leak-98: yes
leak-1: yes
leak-16: yes
leak-66: yes
leak-65: yes
leak-7: yes
leak-30: yes
leak-77: yes
leak-3: yes
leak-51: yes
leak-58: yes
leak-49: yes
leak-69: yes
leak-85: yes
leak-84: yes
leak-14: yes
leak-86: yes
leak-100: yes
leak-105: yes
leak-97: yes
leak-47: yes
leak-6: yes
leak-68: yes
leak-67: yes
leak-93: yes
leak-0: yes
leak-59: yes
leak-8: yes
leak-83: yes
leak-63: yes
leak-11: yes
leak-87: yes
leak-103: yes
leak-104: yes
leak-101: yes
leak-102: yes
leak-88: yes
leak-15: yes
leak-9: yes
leak-73: yes
leak-50: yes
leak-62: yes
leak-5: yes
leak-33: yes
leak-75: yes
leak-89: yes
leak-19: yes
leak-92: yes
leak-2: yes
leak-95: yes
total leaks: 153 unique leaks: 63 unique leaks in both logs: 63 anomalous leak count: 0
