/home/amit/muse/output/babymonitor/schemas/REACHABILITY/babymonitor
In file: DiscoverActivity.java
Input operator: REACHABILITY
leak-0: <DiscoverActivity.<init>>
leak-1: DiscoverActivity.onCreate
leak-2: <1.<init>>
leak-3: 1.onClick
leak-4: <1.<init>>
leak-5: 1.onClick
leak-6: DiscoverActivity.loadDiscoveryViaMdns
leak-7: DiscoverActivity.loadDiscoveryViaAddress
leak-8: <1.<init>>
leak-9: 1.onClick
leak-10: 1.onClick
leak-11: 1.onClick
leak-12: 1.onClick
leak-13: DiscoverActivity.onDestroy
leak-14: DiscoverActivity.onDestroy
leak-15: DiscoverActivity.startServiceDiscovery
leak-16: <1.<init>>
leak-17: 1.onItemClick
leak-18: <1.<init>>
leak-19: 1.onDiscoveryStarted
leak-20: 1.onServiceFound
leak-21: 1.onServiceFound
leak-22: 1.onServiceFound
leak-23: <1.<init>>
leak-24: 1.onResolveFailed
leak-25: 1.onServiceResolved
leak-26: <1.<init>>
leak-27: 1.run
leak-28: 1.onServiceFound
leak-29: 1.onServiceLost
leak-30: 1.onDiscoveryStopped
leak-31: 1.onStartDiscoveryFailed
leak-32: 1.onStopDiscoveryFailed
leak-33: DiscoverActivity.connectToChild
leak-34: <ServiceInfoWrapper.<init>>
leak-35: ServiceInfoWrapper.ServiceInfoWrapper
leak-36: ServiceInfoWrapper.getAddress
leak-37: ServiceInfoWrapper.getPort
leak-38: ServiceInfoWrapper.getName
leak-39: ServiceInfoWrapper.toString
In file: MonitorActivity.java
Input operator: REACHABILITY
leak-40: <MonitorActivity.<init>>
leak-41: MonitorActivity.serviceConnection
leak-42: <1.<init>>
leak-43: 1.run
leak-44: MonitorActivity.serviceConnection
leak-45: MonitorActivity.serviceConnection
leak-46: MonitorActivity.serviceConnection
leak-47: MonitorActivity.onCreate
leak-48: <1.<init>>
leak-49: 1.run
leak-50: 1.run
leak-51: 1.run
leak-52: 1.run
leak-53: 1.run
leak-54: 1.run
leak-55: 1.run
leak-56: 1.run
leak-57: 1.run
leak-58: <1.<init>>
leak-59: 1.run
leak-60: 1.run
leak-61: 1.run
leak-62: MonitorActivity.onDestroy
leak-63: MonitorActivity.onDestroy
leak-64: MonitorActivity.onCreateOptionsMenu
leak-65: MonitorActivity.onOptionsItemSelected
leak-66: MonitorActivity.onOptionsItemSelected
leak-67: MonitorActivity.registerService
leak-68: <1.<init>>
leak-69: 1.onServiceRegistered
leak-70: <1.<init>>
leak-71: 1.run
leak-72: 1.onRegistrationFailed
leak-73: 1.onServiceUnregistered
leak-74: 1.onUnregistrationFailed
leak-75: MonitorActivity.unregisterService
leak-76: MonitorActivity.unregisterService
In file: ListenActivity.java
Input operator: REACHABILITY
leak-77: <ListenActivity.<init>>
leak-78: ListenActivity.streamAudio
leak-79: ListenActivity.streamAudio
leak-80: ListenActivity.streamAudio
leak-81: ListenActivity.streamAudio
leak-82: ListenActivity.streamAudio
leak-83: ListenActivity.onCreate
leak-84: <1.<init>>
leak-85: 1.run
leak-86: <1.<init>>
leak-87: 1.run
leak-88: 1.run
leak-89: 1.run
leak-90: 1.run
leak-91: 1.run
leak-92: <1.<init>>
leak-93: 1.run
leak-94: ListenActivity.onDestroy
leak-95: ListenActivity.playAlert
leak-96: ListenActivity.playAlert
leak-97: <1.<init>>
leak-98: 1.onCompletion
leak-99: ListenActivity.playAlert
In file: StartActivity.java
Input operator: REACHABILITY
leak-100: <StartActivity.<init>>
leak-101: StartActivity.onCreate
leak-102: <1.<init>>
leak-103: 1.onClick
leak-104: <1.<init>>
leak-105: 1.onClick
