filename: com.secuso.privacyFriendlyCodeScanner-1.7.log
leak-25: yes
leak-71: yes
leak-27: yes
leak-37: yes
leak-15: yes
leak-31: yes
leak-29: yes
leak-47: yes
leak-121: yes
leak-61: yes
leak-42: yes
leak-56: yes
leak-35: yes
leak-120: yes
leak-57: yes
leak-1: yes
leak-2: yes
leak-72: yes
leak-26: yes
leak-4: yes
leak-54: yes
leak-20: yes
leak-59: yes
leak-60: yes
leak-46: yes
leak-32: yes
leak-33: yes
leak-66: yes
leak-48: yes
leak-55: yes
leak-13: yes
leak-73: yes
leak-17: yes
leak-16: yes
leak-45: yes
leak-50: yes
leak-30: yes
leak-64: yes
leak-119: yes
leak-51: yes
leak-14: yes
leak-58: yes
leak-65: yes
leak-28: yes
leak-41: yes
leak-19: yes
leak-34: yes
leak-18: yes
leak-38: yes
leak-21: yes
leak-0: yes
total leaks: 3646 unique leaks: 51 unique leaks in both logs: 51 anomalous leak count: 0
