filename: de.szalkowski.activitylauncher-1.6.2.log
leak-69-2: yes
leak-57-6: yes
leak-60-6: yes
leak-85-3: yes
leak-23-4: yes
leak-56-4: yes
leak-13-5: yes
leak-59-1: yes
leak-9-2: yes
leak-75-4: yes
leak-57-9: yes
leak-60-7: yes
leak-57-10: yes
leak-57-5: yes
leak-88-2: yes
leak-21-5: yes
leak-66-0: yes
leak-73-0: yes
leak-73-2: yes
leak-63-1: yes
leak-58-5: yes
leak-56-8: yes
leak-55-4: yes
leak-8-7: yes
leak-92-4: yes
leak-20-5: yes
leak-18-3: yes
leak-10-5: yes
leak-63-0: yes
leak-52-3: yes
leak-26-0: yes
leak-61-6: yes
leak-52-1: yes
leak-92-3: yes
leak-8-5: yes
leak-94-1: yes
leak-71-1: yes
leak-60-9: yes
leak-23-5: yes
leak-59-3: yes
leak-60-4: yes
leak-85-2: yes
leak-28-0: yes
leak-75-6: yes
leak-9-5: yes
leak-61-10: yes
leak-86-2: yes
leak-72-4: yes
leak-97-3: yes
leak-99-0: yes
leak-66-2: yes
leak-8-0: yes
leak-56-3: yes
leak-20-4: yes
leak-70-4: yes
leak-52-7: yes
leak-88-1: yes
leak-72-1: yes
leak-61-1: yes
leak-87-1: yes
leak-71-6: yes
leak-56-6: yes
leak-73-1: yes
leak-85-5: yes
leak-62-4: yes
leak-62-5: yes
leak-62-10: yes
leak-8-2: yes
leak-58-3: yes
leak-72-6: yes
leak-86-3: yes
leak-24-0: yes
leak-18-6: yes
leak-92-0: yes
leak-70-2: yes
leak-53-9: yes
leak-68-4: yes
leak-17-6: yes
leak-21-4: yes
leak-97-4: yes
leak-53-3: yes
leak-30-1: yes
leak-61-8: yes
leak-59-10: yes
leak-62-6: yes
leak-66-1: yes
leak-17-3: yes
leak-92-2: yes
leak-21-6: yes
leak-73-7: yes
leak-15-5: yes
leak-56-1: yes
leak-29-1: yes
leak-99-3: yes
leak-100-1: yes
leak-62-1: yes
leak-103-5: yes
leak-59-9: yes
leak-57-8: yes
leak-59-6: yes
leak-94-2: yes
leak-71-0: yes
leak-68-6: yes
leak-73-6: yes
leak-52-6: yes
leak-85-1: yes
leak-87-3: yes
leak-59-5: yes
leak-17-4: yes
leak-94-3: yes
leak-55-9: yes
leak-9-4: yes
leak-17-5: yes
leak-69-1: yes
leak-104-1: yes
leak-88-3: yes
leak-65-0: yes
leak-71-4: yes
leak-61-3: yes
leak-95-3: yes
leak-96-3: yes
leak-71-3: yes
leak-8-1: yes
leak-15-4: yes
leak-56-10: yes
leak-53-8: yes
leak-64-1: yes
leak-55-10: yes
leak-70-1: yes
leak-58-9: yes
leak-55-6: yes
leak-95-2: yes
leak-71-5: yes
leak-55-8: yes
leak-12-4: yes
leak-13-1: yes
leak-23-6: yes
leak-65-1: yes
leak-55-5: yes
leak-52-9: yes
leak-60-5: yes
leak-75-1: yes
leak-25-0: yes
leak-55-3: yes
leak-61-7: yes
leak-10-2: yes
leak-75-2: yes
leak-58-7: yes
leak-12-5: yes
leak-58-6: yes
leak-66-4: yes
leak-73-4: yes
leak-92-1: yes
leak-100-3: yes
leak-61-5: yes
leak-71-2: yes
leak-56-5: yes
leak-60-1: yes
leak-8-4: yes
leak-17-0: yes
leak-90-5: yes
leak-60-8: yes
leak-104-5: yes
leak-18-5: yes
leak-17-1: yes
leak-57-7: yes
leak-53-10: yes
leak-53-7: yes
leak-58-8: yes
leak-15-2: yes
leak-15-1: yes
leak-90-2: yes
leak-57-1: yes
leak-53-4: yes
leak-10-4: yes
leak-9-7: yes
leak-87-2: yes
leak-81-0: yes
leak-52-5: yes
leak-55-7: yes
leak-66-6: yes
leak-62-7: yes
leak-108-5: yes
leak-62-8: yes
leak-22-5: yes
leak-13-2: yes
leak-82-1: yes
leak-99-1: yes
leak-102-3: yes
leak-65-2: yes
leak-55-1: yes
leak-12-2: yes
leak-18-4: yes
leak-90-3: yes
leak-75-0: yes
leak-60-10: yes
leak-58-10: yes
leak-22-6: yes
leak-57-3: yes
leak-57-4: yes
leak-71-7: yes
leak-103-1: yes
leak-29-0: yes
leak-52-0: yes
leak-20-3: yes
leak-90-1: yes
leak-103-0: yes
leak-56-7: yes
leak-97-2: yes
leak-102-1: yes
leak-59-4: yes
leak-86-1: yes
leak-85-0: yes
leak-59-8: yes
leak-15-7: yes
leak-73-5: yes
leak-52-8: yes
leak-61-4: yes
leak-61-9: yes
leak-56-9: yes
leak-53-1: yes
leak-52-4: yes
leak-59-7: yes
leak-74-6: yes
leak-70-6: yes
leak-13-4: yes
leak-53-6: yes
leak-12-1: yes
leak-68-1: yes
leak-58-4: yes
leak-18-1: yes
leak-67-1: yes
leak-53-5: yes
leak-62-9: yes
leak-75-7: yes
leak-20-6: yes
leak-81-1: yes
leak-58-1: yes
leak-9-1: yes
leak-62-3: yes
leak-94-4: yes
leak-52-10: yes
leak-60-3: yes
total leaks: 46840 unique leaks: 243 unique leaks in both logs: 243 anomalous leak count: 0
