filename: org.androidpn.client-0.5.10.log
leak-41-3: yes
leak-37-7: yes
leak-49-1: yes
leak-43-7: yes
leak-42-5: yes
leak-42-11: yes
leak-203-1: yes
leak-37-11: yes
leak-4-0: yes
leak-37-10: yes
leak-41-10: yes
leak-32-1: yes
leak-43-4: yes
leak-205-5: yes
leak-42-9: yes
leak-42-10: yes
leak-45-11: yes
leak-44-10: yes
leak-37-9: yes
leak-38-4: yes
leak-45-5: yes
leak-38-10: yes
leak-33-7: yes
leak-38-9: yes
leak-205-2: yes
leak-34-9: yes
leak-41-7: yes
leak-42-1: yes
leak-43-1: yes
leak-44-9: yes
leak-204-5: yes
leak-32-5: yes
leak-32-8: yes
leak-203-5: yes
leak-32-4: yes
leak-41-1: yes
leak-43-10: yes
leak-203-0: yes
leak-208-2: yes
leak-42-7: yes
leak-34-11: yes
leak-209-1: yes
leak-44-11: yes
leak-44-4: yes
leak-209-5: yes
leak-41-5: yes
leak-37-3: yes
leak-32-7: yes
leak-205-1: yes
leak-45-1: yes
leak-209-6: yes
leak-34-5: yes
leak-204-6: yes
leak-34-4: yes
leak-208-5: yes
leak-45-2: yes
leak-37-2: yes
leak-44-1: yes
leak-203-6: yes
leak-32-11: yes
leak-0-0: yes
leak-32-3: yes
leak-39-2: yes
leak-33-5: yes
leak-38-2: yes
leak-33-1: yes
leak-43-9: yes
leak-42-8: yes
leak-44-2: yes
leak-41-9: yes
leak-44-5: yes
leak-37-1: yes
leak-43-11: yes
leak-209-2: yes
leak-43-2: yes
leak-38-1: yes
leak-204-2: yes
leak-33-4: yes
leak-203-2: yes
leak-39-5: yes
leak-41-8: yes
leak-38-5: yes
leak-33-9: yes
leak-49-0: yes
leak-33-2: yes
leak-34-7: yes
leak-32-10: yes
leak-34-2: yes
leak-41-11: yes
leak-204-1: yes
leak-44-7: yes
leak-32-9: yes
leak-42-4: yes
leak-45-9: yes
leak-42-2: yes
leak-37-4: yes
leak-41-4: yes
leak-38-11: yes
leak-50-1: yes
leak-45-4: yes
leak-37-5: yes
leak-43-5: yes
leak-45-10: yes
leak-38-7: yes
leak-45-7: yes
leak-33-11: yes
leak-41-2: yes
leak-42-3: yes
leak-32-2: yes
leak-32-0: yes
total leaks: 340 unique leaks: 110 unique leaks in both logs: 110 anomalous leak count: 0
