filename: protect.babymonitor-0.2.log
leak-79-0: yes
leak-50-0: yes
leak-47-2: yes
leak-46-2: yes
leak-82-0: yes
leak-43-1: yes
leak-0-1: yes
leak-6-3: yes
leak-43-3: yes
leak-9-3: yes
leak-47-6: yes
leak-0-2: yes
leak-1-0: yes
leak-7-3: yes
leak-2-0: yes
leak-75-0: yes
leak-26-0: yes
leak-45-0: yes
leak-49-6: yes
leak-83-0: yes
leak-62-0: yes
leak-77-0: yes
leak-0-4: yes
leak-18-3: yes
leak-74-0: yes
leak-55-6: yes
leak-3-1: yes
leak-44-0: yes
leak-48-4: yes
leak-9-0: yes
leak-43-6: yes
leak-0-5: yes
leak-43-5: yes
leak-47-3: yes
leak-60-0: yes
leak-43-2: yes
leak-80-0: yes
leak-18-5: yes
leak-51-0: yes
leak-48-6: yes
leak-48-2: yes
leak-78-0: yes
leak-4-5: yes
leak-71-2: yes
leak-49-5: yes
leak-72-0: yes
leak-4-3: yes
leak-58-0: yes
leak-70-2: yes
leak-3-3: yes
leak-29-0: yes
leak-0-0: yes
leak-71-3: yes
leak-5-0: yes
leak-53-2: yes
leak-66-1: yes
leak-46-6: yes
leak-3-4: yes
leak-0-3: yes
leak-66-3: yes
leak-59-0: yes
leak-68-0: yes
leak-49-4: yes
leak-64-0: yes
leak-43-4: yes
leak-39-0: yes
leak-61-0: yes
leak-67-0: yes
leak-49-2: yes
leak-27-0: yes
leak-25-0: yes
leak-49-3: yes
leak-15-3: yes
leak-69-0: yes
leak-50-2: yes
leak-47-4: yes
leak-4-2: yes
leak-7-4: yes
leak-66-2: yes
leak-76-0: yes
total leaks: 174 unique leaks: 80 unique leaks in both logs: 80 anomalous leak count: 0
