filename: ca.cmetcalfe.locationshare-1.2.log
leak-9-1: yes
leak-4-3: yes
leak-18-4: yes
leak-8-2: yes
leak-19-4: yes
leak-19-5: yes
leak-6-4: yes
leak-7-5: yes
leak-19-3: yes
leak-7-4: yes
leak-9-4: yes
leak-8-13: yes
leak-18-13: yes
leak-8-5: yes
leak-6-12: yes
leak-7-2: yes
leak-4-13: yes
leak-4-12: yes
leak-6-2: yes
leak-9-2: yes
leak-18-2: yes
leak-4-4: yes
leak-9-12: yes
leak-7-13: yes
leak-6-5: yes
leak-8-4: yes
leak-8-1: yes
leak-18-5: yes
leak-19-1: yes
leak-7-3: yes
leak-6-13: yes
leak-6-1: yes
leak-7-12: yes
leak-7-1: yes
leak-6-3: yes
leak-5-1: yes
leak-19-13: yes
leak-4-0: yes
leak-9-3: yes
leak-19-12: yes
leak-9-13: yes
leak-8-12: yes
leak-8-3: yes
leak-9-5: yes
leak-4-2: yes
leak-18-3: yes
leak-4-1: yes
leak-18-1: yes
leak-4-5: yes
leak-18-12: yes
leak-19-2: yes
total leaks: 3167 unique leaks: 51 unique leaks in both logs: 51 anomalous leak count: 0
