filename: com.secuso.privacyFriendlyCodeScanner-1.7.log
leak-15-7: yes
leak-17-3: yes
leak-13-3: yes
leak-37-4: yes
leak-37-2: yes
leak-1-2: yes
leak-15-10: yes
leak-21-2: yes
leak-37-3: yes
leak-5-0: yes
leak-13-8: yes
leak-10-10: yes
leak-35-7: yes
leak-16-2: yes
leak-37-7: yes
leak-0-6: yes
leak-14-1: yes
leak-37-5: yes
leak-81-0: yes
leak-10-3: yes
leak-10-11: yes
leak-17-9: yes
leak-38-7: yes
leak-21-3: yes
leak-15-8: yes
leak-15-3: yes
leak-0-11: yes
leak-19-13: yes
leak-13-2: yes
leak-14-11: yes
leak-16-3: yes
leak-0-3: yes
leak-42-1: yes
leak-51-1: yes
leak-33-4: yes
leak-14-13: yes
leak-17-7: yes
leak-16-7: yes
leak-14-9: yes
leak-17-10: yes
leak-38-4: yes
leak-30-0: yes
leak-16-9: yes
leak-36-7: yes
leak-1-3: yes
leak-10-13: yes
leak-34-3: yes
leak-50-0: yes
leak-15-1: yes
leak-35-4: yes
leak-15-2: yes
leak-35-6: yes
leak-30-7: yes
leak-9-7: yes
leak-33-2: yes
leak-9-9: yes
leak-0-13: yes
leak-16-10: yes
leak-13-6: yes
leak-42-8: yes
leak-33-3: yes
leak-36-4: yes
leak-0-9: yes
leak-19-9: yes
leak-41-7: yes
leak-81-1: yes
leak-42-3: yes
leak-19-3: yes
leak-13-9: yes
leak-1-10: yes
leak-9-10: yes
leak-7-0: yes
leak-33-1: yes
leak-19-11: yes
leak-21-13: yes
leak-14-2: yes
leak-15-9: yes
leak-19-1: yes
leak-14-3: yes
leak-21-10: yes
leak-26-0: yes
leak-0-8: yes
leak-19-10: yes
leak-51-0: yes
leak-14-7: yes
leak-21-9: yes
leak-21-7: yes
leak-16-11: yes
leak-30-6: yes
leak-13-1: yes
leak-10-7: yes
leak-21-11: yes
leak-5-1: yes
leak-1-1: yes
leak-13-13: yes
leak-16-1: yes
leak-15-13: yes
leak-42-5: yes
leak-36-6: yes
leak-30-5: yes
leak-13-7: yes
leak-30-3: yes
leak-17-13: yes
leak-9-3: yes
leak-9-1: yes
leak-33-7: yes
leak-10-1: yes
leak-0-0: yes
leak-13-11: yes
leak-1-9: yes
leak-30-4: yes
leak-35-3: yes
leak-9-13: yes
leak-38-6: yes
leak-42-7: yes
leak-17-1: yes
leak-14-10: yes
leak-17-2: yes
leak-19-2: yes
leak-28-0: yes
leak-41-6: yes
leak-34-7: yes
leak-15-11: yes
leak-42-4: yes
leak-0-7: yes
leak-1-7: yes
leak-34-6: yes
leak-17-11: yes
leak-18-0: yes
leak-42-2: yes
leak-13-10: yes
leak-10-2: yes
leak-27-0: yes
leak-42-0: yes
leak-0-10: yes
leak-1-11: yes
leak-38-3: yes
leak-0-1: yes
leak-16-13: yes
leak-33-5: yes
leak-6-1: yes
leak-47-0: yes
leak-82-1: yes
leak-19-7: yes
leak-34-5: yes
leak-8-0: yes
leak-34-2: yes
leak-9-2: yes
leak-33-0: yes
leak-30-2: yes
leak-38-5: yes
leak-21-1: yes
leak-34-4: yes
leak-37-6: yes
leak-0-2: yes
leak-9-11: yes
leak-10-9: yes
leak-42-6: yes
leak-40-1: yes
leak-1-13: yes
leak-33-6: yes
leak-29-0: yes
total leaks: 6280 unique leaks: 162 unique leaks in both logs: 162 anomalous leak count: 0
