filename: locationshare.log
leak-15-10: no
leak-7-2: no
leak-8-17: no
leak-14-3: no
leak-12-1: no
leak-7-0: no
leak-3-1: yes
leak-5-17: no
leak-5-10: no
leak-9-12: no
leak-1-13: no
leak-7-15: no
leak-3-13: no
leak-3-15: no
leak-15-15: no
leak-13-12: no
leak-15-17: no
leak-9-3: no
leak-5-4: yes
leak-7-14: no
leak-12-5: no
leak-13-17: no
leak-3-5: yes
leak-8-3: no
leak-1-16: no
leak-9-0: no
leak-1-0: no
leak-1-12: no
leak-8-1: no
leak-12-10: no
leak-7-16: no
leak-10-1: no
leak-3-2: yes
leak-15-4: no
leak-9-14: no
leak-1-1: no
leak-5-15: no
leak-10-10: no
leak-11-1: no
leak-1-2: no
leak-9-2: no
leak-11-2: no
leak-13-15: no
leak-7-4: no
leak-5-0: yes
leak-3-17: no
leak-9-10: no
leak-15-5: no
leak-14-12: no
leak-10-15: no
leak-8-10: no
leak-7-12: no
leak-14-2: no
leak-11-0: no
leak-10-4: no
leak-3-10: no
leak-5-2: yes
leak-9-5: no
leak-13-5: no
leak-8-16: no
leak-1-10: no
leak-8-14: no
leak-12-17: no
leak-8-0: no
leak-10-12: no
leak-1-15: no
leak-7-5: no
leak-11-14: no
leak-3-0: yes
leak-10-17: no
leak-8-13: no
leak-9-4: no
leak-14-0: no
leak-10-16: no
leak-9-1: no
leak-15-2: no
leak-11-12: no
leak-14-5: no
leak-15-13: no
leak-10-13: no
leak-10-0: no
leak-15-3: no
leak-15-14: no
leak-13-10: no
leak-11-13: no
leak-5-3: yes
leak-10-5: no
leak-11-16: no
leak-14-10: no
leak-1-17: no
leak-14-17: no
leak-14-4: no
leak-12-0: no
leak-3-4: yes
leak-9-15: no
leak-5-12: no
leak-12-15: no
leak-14-14: no
leak-7-1: no
leak-13-4: no
leak-1-14: no
leak-5-1: yes
leak-13-14: no
leak-7-17: no
leak-11-3: no
leak-9-13: no
leak-11-5: no
leak-13-16: no
leak-15-1: no
leak-12-4: no
leak-8-12: no
leak-12-3: no
leak-8-4: no
leak-15-16: no
leak-1-5: no
leak-7-3: no
leak-1-3: no
leak-10-3: no
leak-12-13: no
leak-14-13: no
leak-11-4: no
leak-11-10: no
leak-8-5: no
leak-10-14: no
leak-15-0: no
leak-8-15: no
leak-13-3: no
leak-3-14: no
leak-15-12: no
leak-13-1: no
leak-13-13: no
leak-13-2: no
leak-5-13: no
leak-13-0: no
leak-9-17: no
leak-14-1: no
leak-3-12: no
leak-11-15: no
leak-12-16: no
leak-7-13: no
leak-12-2: no
leak-14-16: no
leak-1-4: no
leak-9-16: no
leak-8-2: no
leak-5-16: no
leak-3-16: no
leak-3-3: yes
leak-5-5: yes
leak-10-2: no
leak-12-14: no
leak-14-15: no
leak-11-17: no
leak-7-10: no
leak-5-14: no
leak-12-12: no
total leaks: 156 unique leaks: 156 unique leaks in both logs: 12 anomalous leak count: 144
