filename: ca.cmetcalfe.locationshare-1.2.log
leak-14-15: yes
leak-3-10: yes
leak-9-13: yes
leak-12-0: yes
leak-5-13: yes
leak-15-0: yes
leak-8-4: yes
leak-11-2: yes
leak-3-12: yes
leak-8-1: yes
leak-9-14: yes
leak-15-12: yes
leak-12-1: yes
leak-3-15: yes
leak-11-13: yes
leak-7-15: yes
leak-11-17: yes
leak-8-13: yes
leak-1-10: yes
leak-8-2: yes
leak-10-16: yes
leak-13-10: yes
leak-3-17: yes
leak-13-0: yes
leak-15-14: yes
leak-13-12: yes
leak-3-16: yes
leak-14-4: yes
leak-12-13: yes
leak-7-16: yes
leak-14-2: yes
leak-5-5: yes
leak-12-5: yes
leak-10-13: yes
leak-5-3: yes
leak-9-4: yes
leak-14-5: yes
leak-13-16: yes
leak-9-0: yes
leak-10-10: yes
leak-7-1: yes
leak-5-2: yes
leak-8-10: yes
leak-15-5: yes
leak-7-3: yes
leak-14-3: yes
leak-5-1: yes
leak-3-5: yes
leak-7-5: yes
leak-1-2: yes
leak-10-12: yes
leak-7-14: yes
leak-7-13: yes
leak-3-3: yes
leak-10-15: yes
leak-5-16: yes
leak-1-17: yes
leak-5-0: yes
leak-7-4: yes
leak-9-17: yes
leak-3-2: yes
leak-8-14: yes
leak-12-17: yes
leak-15-13: yes
leak-3-0: yes
leak-7-0: yes
leak-15-1: yes
leak-11-5: yes
leak-10-0: yes
leak-13-2: yes
leak-8-12: yes
leak-7-10: yes
leak-12-10: yes
leak-12-3: yes
leak-5-17: yes
leak-10-5: yes
leak-15-16: yes
leak-14-13: yes
leak-13-3: yes
leak-14-1: yes
leak-1-14: yes
leak-10-14: yes
leak-15-3: yes
leak-1-0: yes
leak-11-0: yes
leak-13-4: yes
leak-9-2: yes
leak-1-5: yes
leak-3-4: yes
leak-9-12: yes
leak-11-1: yes
leak-11-10: yes
leak-9-1: yes
leak-9-10: yes
leak-1-12: yes
leak-12-12: yes
leak-15-2: yes
leak-12-2: yes
leak-14-14: yes
leak-11-15: yes
leak-3-13: yes
leak-13-14: yes
leak-15-10: yes
leak-3-14: yes
leak-10-3: yes
leak-8-15: yes
leak-9-15: yes
leak-5-15: yes
leak-1-16: yes
leak-13-15: yes
leak-8-5: yes
leak-8-0: yes
leak-11-4: yes
leak-8-16: yes
leak-10-4: yes
leak-7-12: yes
leak-1-13: yes
leak-11-14: yes
leak-12-15: yes
leak-8-17: yes
leak-14-12: yes
leak-12-14: yes
leak-5-12: yes
leak-13-1: yes
leak-3-1: yes
leak-10-2: yes
leak-11-16: yes
leak-9-3: yes
leak-14-0: yes
leak-14-16: yes
leak-10-1: yes
leak-1-3: yes
leak-13-13: yes
leak-10-17: yes
leak-1-1: yes
leak-7-17: yes
leak-8-3: yes
leak-15-4: yes
leak-11-3: yes
leak-13-17: yes
leak-1-4: yes
leak-14-10: yes
leak-9-16: yes
leak-5-10: yes
leak-14-17: yes
leak-15-15: yes
leak-7-2: yes
leak-12-4: yes
leak-5-14: yes
leak-1-15: yes
leak-11-12: yes
leak-5-4: yes
leak-15-17: yes
leak-12-16: yes
leak-13-5: yes
leak-9-5: yes
total leaks: 9504 unique leaks: 156 unique leaks in both logs: 156 anomalous leak count: 0
