/home/amit/muse/output/CalendarTrigger/schemas/COMPLEXREACHABILITY/CalendarTrigger
In file: MyLog.java
Input operator: COMPLEXREACHABILITY
leak-0: MyLog.LogFileName
leak-1: MyLog.SettingsFileName
leak-2: MyLog.ensureLogDirectory
leak-3: MyLog.ensureLogDirectory
leak-4: MyLog.ensureLogDirectory
leak-5: MyLog.ensureLogDirectory
leak-6: MyLog.MyLog
leak-7: MyLog.MyLog
leak-8: MyLog.MyLog
leak-9: MyLog.MyLog
leak-10: MyLog.MyLog
leak-11: MyLog.MyLog
leak-12: MyLog.MyLog
In file: ComparatorChain.java
Input operator: COMPLEXREACHABILITY
leak-13: ComparatorChain.ComparatorChain
leak-14: ComparatorChain.ComparatorChain
leak-15: ComparatorChain.ComparatorChain
leak-16: ComparatorChain.ComparatorChain
leak-17: ComparatorChain.ComparatorChain
leak-18: ComparatorChain.ComparatorChain
leak-19: ComparatorChain.addComparator
leak-20: ComparatorChain.addComparator
leak-21: ComparatorChain.addComparator
leak-22: ComparatorChain.setComparator
leak-23: ComparatorChain.setComparator
leak-24: ComparatorChain.setComparator
leak-25: ComparatorChain.setComparator
leak-26: ComparatorChain.setForwardSort
leak-27: ComparatorChain.setReverseSort
leak-28: ComparatorChain.size
leak-29: ComparatorChain.isLocked
leak-30: ComparatorChain.checkLocked
leak-31: ComparatorChain.checkLocked
leak-32: ComparatorChain.checkChainIntegrity
leak-33: ComparatorChain.checkChainIntegrity
leak-34: ComparatorChain.compare
leak-35: ComparatorChain.compare
leak-36: ComparatorChain.compare
leak-37: ComparatorChain.compare
leak-38: ComparatorChain.compare
leak-39: ComparatorChain.compare
leak-40: ComparatorChain.compare
leak-41: ComparatorChain.hashCode
leak-42: ComparatorChain.hashCode
leak-43: ComparatorChain.hashCode
leak-44: ComparatorChain.equals
leak-45: ComparatorChain.equals
leak-46: ComparatorChain.equals
leak-47: ComparatorChain.equals
leak-48: ComparatorChain.clear
In file: DirectoryFileComparator.java
Input operator: COMPLEXREACHABILITY
leak-49: DirectoryFileComparator.compare
leak-50: DirectoryFileComparator.compare
leak-51: DirectoryFileComparator.compare
In file: NameComparator.java
Input operator: COMPLEXREACHABILITY
leak-52: NameComparator.compare
In file: CreateClassDialog.java
Input operator: COMPLEXREACHABILITY
leak-53: CreateClassDialog.CreateClassDialog
leak-54: CreateClassDialog.onCreateView
leak-55: 1.onClick
leak-56: 1.onTextChanged
leak-57: 1.beforeTextChanged
leak-58: 1.afterTextChanged
leak-59: 1.afterTextChanged
leak-60: 1.afterTextChanged
leak-61: 1.onClick
In file: ActionStopFragment.java
Input operator: COMPLEXREACHABILITY
leak-62: ActionStopFragment.ActionStopFragment
leak-63: ActionStopFragment.newInstance
leak-64: ActionStopFragment.openThis
leak-65: ActionStopFragment.onCreateView
leak-66: ActionStopFragment.onResume
leak-67: 1.onLongClick
leak-68: 1.onLongClick
leak-69: 1.onLongClick
leak-70: 1.onCheckedChanged
leak-71: 1.onLongClick
leak-72: ActionStopFragment.onResume
leak-73: ActionStopFragment.onResume
leak-74: 1.onClick
leak-75: 1.onLongClick
leak-76: 1.onLongClick
leak-77: 1.onLongClick
leak-78: ActionStopFragment.onPause
leak-79: ActionStopFragment.onPause
leak-80: ActionStopFragment.onPause
leak-81: ActionStopFragment.onPause
In file: DisabledRadioButton.java
Input operator: COMPLEXREACHABILITY
leak-82: DisabledRadioButton.DisabledRadioButton
leak-83: DisabledRadioButton.DisabledRadioButton
leak-84: DisabledRadioButton.DisabledRadioButton
leak-85: DisabledRadioButton.DisabledRadioButton
leak-86: DisabledRadioButton.performClick
In file: FakeContact.java
Input operator: COMPLEXREACHABILITY
leak-87: FakeContact.onCreate
leak-88: FakeContact.doDumpOne
leak-89: FakeContact.doDumpOne
leak-90: FakeContact.doDumpOne
leak-91: FakeContact.doDumpOne
leak-92: FakeContact.doDumpOne
leak-93: FakeContact.doLogAll
leak-94: FakeContact.doLogAll
leak-95: FakeContact.doDumpAll
leak-96: FakeContact.doDumpAll
leak-97: FakeContact.doDumpAll
leak-98: FakeContact.doDumpAll
leak-99: FakeContact.doDumpAll
leak-100: FakeContact.reResume
leak-101: FakeContact.reResume
leak-102: FakeContact.reResume
leak-103: FakeContact.reResume
leak-104: FakeContact.reResume
leak-105: FakeContact.reResume
leak-106: FakeContact.reResume
leak-107: FakeContact.reResume
leak-108: FakeContact.reResume
leak-109: FakeContact.reResume
leak-110: FakeContact.reResume
leak-111: 1.onClick
leak-112: 1.onClick
leak-113: 1.onClick
leak-114: 1.onClick
leak-115: 1.onClick
leak-116: FakeContact.onResume
leak-117: FakeContact.onResume
leak-118: FakeContact.onResume
leak-119: FakeContact.onResume
leak-120: FakeContact.onBackPressed
leak-121: FakeContact.onBackPressed
leak-122: FakeContact.onBackPressed
leak-123: FakeContact.onPause
leak-124: FakeContact.onPause
leak-125: FakeContact.onPause
leak-126: FakeContact.onPause
leak-127: FakeContact.onPause
leak-128: FakeContact.onPause
leak-129: FakeContact.onPause
leak-130: FakeContact.onPause
leak-131: FakeContact.onPause
leak-132: FakeContact.onPause
leak-133: FakeContact.onPause
leak-134: FakeContact.onPause
leak-135: FakeContact.onPause
leak-136: FakeContact.onPause
leak-137: FakeContact.onPause
leak-138: FakeContact.onPause
leak-139: FakeContact.onPause
leak-140: FakeContact.onPause
leak-141: FakeContact.onPause
In file: ActionStartFragment.java
Input operator: COMPLEXREACHABILITY
leak-142: ActionStartFragment.ActionStartFragment
leak-143: ActionStartFragment.newInstance
leak-144: ActionStartFragment.openThis
leak-145: ActionStartFragment.onCreateView
leak-146: ActionStartFragment.onResume
leak-147: ActionStartFragment.onResume
leak-148: ActionStartFragment.onResume
leak-149: 1.onLongClick
leak-150: 1.onLongClick
leak-151: 1.onLongClick
leak-152: ActionStartFragment.onResume
leak-153: 1.onLongClick
leak-154: ActionStartFragment.onResume
leak-155: ActionStartFragment.onResume
leak-156: ActionStartFragment.onResume
leak-157: 1.onLongClick
leak-158: ActionStartFragment.onResume
leak-159: 1.onLongClick
leak-160: ActionStartFragment.onResume
leak-161: 1.onLongClick
leak-162: ActionStartFragment.onResume
leak-163: 1.onLongClick
leak-164: ActionStartFragment.onResume
leak-165: ActionStartFragment.onResume
leak-166: ActionStartFragment.onResume
leak-167: 1.onLongClick
leak-168: ActionStartFragment.onResume
leak-169: 1.onLongClick
leak-170: ActionStartFragment.onResume
leak-171: 1.onLongClick
leak-172: ActionStartFragment.onResume
leak-173: ActionStartFragment.onResume
leak-174: ActionStartFragment.onResume
leak-175: 1.onLongClick
leak-176: ActionStartFragment.onResume
leak-177: 1.onLongClick
leak-178: ActionStartFragment.onResume
leak-179: 1.onLongClick
leak-180: ActionStartFragment.onResume
leak-181: 1.onLongClick
leak-182: 1.onCheckedChanged
leak-183: 1.onLongClick
leak-184: ActionStartFragment.onResume
leak-185: ActionStartFragment.onResume
leak-186: 1.onClick
leak-187: 1.onLongClick
leak-188: 1.onLongClick
leak-189: 1.onLongClick
leak-190: ActionStartFragment.onPause
leak-191: ActionStartFragment.onPause
leak-192: ActionStartFragment.onPause
leak-193: ActionStartFragment.onPause
In file: ActionFragment.java
Input operator: COMPLEXREACHABILITY
leak-194: ActionFragment.ActionFragment
leak-195: ActionFragment.getDefaultDir
leak-196: ActionFragment.getFile
leak-197: ActionFragment.openThis
In file: ArrayAdapter.java
Input operator: COMPLEXREACHABILITY
leak-198: ArrayAdapter.ArrayAdapter
leak-199: ArrayAdapter.ArrayAdapter
leak-200: ArrayAdapter.ArrayAdapter
leak-201: ArrayAdapter.ArrayAdapter
leak-202: ArrayAdapter.ArrayAdapter
leak-203: ArrayAdapter.ArrayAdapter
leak-204: ArrayAdapter.add
leak-205: ArrayAdapter.add
leak-206: ArrayAdapter.add
leak-207: ArrayAdapter.add
leak-208: ArrayAdapter.addAll
leak-209: ArrayAdapter.addAll
leak-210: ArrayAdapter.addAll
leak-211: ArrayAdapter.addAll
leak-212: ArrayAdapter.addAll
leak-213: ArrayAdapter.addAll
leak-214: ArrayAdapter.addAll
leak-215: ArrayAdapter.addAll
leak-216: ArrayAdapter.insert
leak-217: ArrayAdapter.insert
leak-218: ArrayAdapter.insert
leak-219: ArrayAdapter.insert
leak-220: ArrayAdapter.remove
leak-221: ArrayAdapter.remove
leak-222: ArrayAdapter.remove
leak-223: ArrayAdapter.remove
leak-224: ArrayAdapter.clear
leak-225: ArrayAdapter.clear
leak-226: ArrayAdapter.clear
leak-227: ArrayAdapter.clear
leak-228: ArrayAdapter.clearNoNotification
leak-229: ArrayAdapter.clearNoNotification
leak-230: ArrayAdapter.clearNoNotification
leak-231: ArrayAdapter.clearNoNotification
leak-232: ArrayAdapter.sort
leak-233: ArrayAdapter.sort
leak-234: ArrayAdapter.sort
leak-235: ArrayAdapter.sort
leak-236: ArrayAdapter.notifyDataSetChanged
leak-237: ArrayAdapter.setNotifyOnChange
leak-238: ArrayAdapter.init
leak-239: ArrayAdapter.getContext
leak-240: ArrayAdapter.getCount
leak-241: ArrayAdapter.getItem
leak-242: ArrayAdapter.getPosition
leak-243: ArrayAdapter.getItemId
leak-244: ArrayAdapter.getView
leak-245: ArrayAdapter.createViewFromResource
leak-246: ArrayAdapter.createViewFromResource
leak-247: ArrayAdapter.createViewFromResource
leak-248: ArrayAdapter.createViewFromResource
leak-249: ArrayAdapter.createViewFromResource
leak-250: ArrayAdapter.createViewFromResource
leak-251: ArrayAdapter.createViewFromResource
leak-252: ArrayAdapter.createViewFromResource
leak-253: ArrayAdapter.createViewFromResource
leak-254: ArrayAdapter.setDropDownViewResource
leak-255: ArrayAdapter.getDropDownView
leak-256: ArrayAdapter.createFromResource
leak-257: ArrayAdapter.getFilter
leak-258: ArrayAdapter.getFilter
leak-259: ArrayFilter.performFiltering
leak-260: ArrayFilter.performFiltering
leak-261: ArrayFilter.performFiltering
leak-262: ArrayFilter.performFiltering
leak-263: ArrayFilter.performFiltering
leak-264: ArrayFilter.performFiltering
leak-265: ArrayFilter.performFiltering
leak-266: ArrayFilter.performFiltering
leak-267: ArrayFilter.performFiltering
leak-268: ArrayFilter.performFiltering
leak-269: ArrayFilter.performFiltering
leak-270: ArrayFilter.performFiltering
leak-271: ArrayFilter.publishResults
leak-272: ArrayFilter.publishResults
leak-273: ArrayFilter.publishResults
In file: MainActivity.java
Input operator: COMPLEXREACHABILITY
leak-274: MainActivity.onCreate
leak-275: MainActivity.onCreate
leak-276: MainActivity.onCreate
leak-277: MainActivity.onBackPressed
leak-278: MainActivity.onPrepareOptionsMenu
leak-279: MainActivity.onPrepareOptionsMenu
leak-280: MainActivity.onPrepareOptionsMenu
leak-281: MainActivity.onResume
leak-282: MainActivity.onOptionsItemSelected
leak-283: MainActivity.onOptionsItemSelected
leak-284: MainActivity.onOptionsItemSelected
leak-285: MainActivity.onOptionsItemSelected
In file: FileBrowserFragment.java
Input operator: COMPLEXREACHABILITY
leak-286: FileBrowserFragment.FileBrowserFragment
leak-287: FileBrowserFragment.setOwner
leak-288: FileBrowserFragment.onCreateView
leak-289: FileBrowserFragment.onViewCreated
leak-290: 1.onDirectoryOrFileClick
leak-291: 1.onDirectoryOrFileClick
leak-292: FileBrowserFragment.onViewCreated
leak-293: FileBrowserFragment.onViewCreated
In file: FileListView.java
Input operator: COMPLEXREACHABILITY
leak-294: FileListView.FileListView
leak-295: FileListView.setRowView
leak-296: FileListView.init
leak-297: FileListView.init
leak-298: FileListView.init
leak-299: FileListView.getAdapter
leak-300: FileListView.setDefaultFileExtentions
leak-301: FileListView.onItemClick
leak-302: FileListView.onItemClick
leak-303: FileListView.onItemClick
leak-304: FileListView.onItemClick
leak-305: FileListView.updateUI
leak-306: FileListView.updateUI
leak-307: FileListView.updateUI
leak-308: FileListView.updateUI
leak-309: FileListView.updateUI
leak-310: FileListView.updateUI
leak-311: FileListView.updateUI
leak-312: FileListView.updateUI
leak-313: FileListView.setTextViewDirectory
leak-314: FileListView.setTextViewFile
leak-315: FileListView.setOnDirectoryOrFileClickListener
leak-316: FileListView.getComparator
leak-317: FileListView.setComparator
leak-318: FileListView.setOnGetView
In file: DefineStartFragment.java
Input operator: COMPLEXREACHABILITY
leak-319: DefineStartFragment.DefineStartFragment
leak-320: DefineStartFragment.newInstance
leak-321: DefineStartFragment.onCreateView
leak-322: DefineStartFragment.onResume
leak-323: 1.onLongClick
leak-324: 1.onLongClick
leak-325: 1.onLongClick
leak-326: 1.onLongClick
leak-327: 1.onLongClick
leak-328: 1.onLongClick
leak-329: 1.onLongClick
leak-330: 1.onLongClick
leak-331: 1.onLongClick
leak-332: 1.onLongClick
leak-333: 1.onLongClick
leak-334: 1.onLongClick
leak-335: 1.onLongClick
leak-336: DefineStartFragment.onPause
leak-337: DefineStartFragment.onPause
leak-338: DefineStartFragment.onPause
leak-339: DefineStartFragment.onPause
leak-340: DefineStartFragment.onPause
leak-341: DefineStartFragment.onPause
leak-342: DefineStartFragment.onPause
leak-343: DefineStartFragment.onPause
leak-344: DefineStartFragment.onPause
leak-345: DefineStartFragment.onPause
In file: SettingsActivity.java
Input operator: COMPLEXREACHABILITY
leak-346: SettingsActivity.onCreate
leak-347: SettingsActivity.doReset
leak-348: SettingsActivity.setNextLocationState
leak-349: SettingsActivity.setNextLocationState
leak-350: 1.onLongClick
leak-351: SettingsActivity.setNextLocationState
leak-352: 1.onLongClick
leak-353: SettingsActivity.showLog
leak-354: SettingsActivity.showLog
leak-355: SettingsActivity.showLog
leak-356: SettingsActivity.showLog
leak-357: SettingsActivity.showLog
leak-358: SettingsActivity.showLog
leak-359: SettingsActivity.reResume
leak-360: SettingsActivity.reResume
leak-361: SettingsActivity.reResume
leak-362: 1.onLongClick
leak-363: 1.onLongClick
leak-364: 1.onLongClick
leak-365: 1.onLongClick
leak-366: 1.onLongClick
leak-367: 1.onLongClick
leak-368: SettingsActivity.reResume
leak-369: SettingsActivity.reResume
leak-370: 1.onLongClick
leak-371: SettingsActivity.reResume
leak-372: 1.onClick
leak-373: 1.onLongClick
leak-374: SettingsActivity.reResume
leak-375: 1.onClick
leak-376: 1.onLongClick
leak-377: 1.onClick
leak-378: 1.onLongClick
leak-379: SettingsActivity.reResume
leak-380: 1.onClick
leak-381: 1.onLongClick
leak-382: SettingsActivity.reResume
leak-383: 1.onClick
leak-384: 1.onLongClick
leak-385: SettingsActivity.reResume
leak-386: 1.onClick
leak-387: 1.onLongClick
leak-388: SettingsActivity.reResume
leak-389: 1.onClick
leak-390: 1.onLongClick
leak-391: SettingsActivity.reResume
leak-392: SettingsActivity.reResume
leak-393: 1.onClick
leak-394: 1.onClick
leak-395: 1.onClick
leak-396: 1.onLongClick
leak-397: 1.onLongClick
leak-398: 1.onLongClick
leak-399: 1.onClick
leak-400: 1.onClick
leak-401: 1.onLongClick
leak-402: 1.onClick
leak-403: 1.onLongClick
leak-404: SettingsActivity.reResume
leak-405: 1.onClick
leak-406: 1.onClick
leak-407: 1.onClick
leak-408: 1.onClick
leak-409: 1.onLongClick
leak-410: SettingsActivity.reResume
leak-411: 1.onClick
leak-412: 1.onLongClick
leak-413: SettingsActivity.reResume
leak-414: 1.onClick
leak-415: 1.onClick
leak-416: 1.onClick
leak-417: 1.onLongClick
leak-418: SettingsActivity.reResume
leak-419: 1.onClick
leak-420: 1.onLongClick
leak-421: SettingsActivity.reResume
leak-422: SettingsActivity.reResume
leak-423: 1.onClick
leak-424: SettingsActivity.onResume
leak-425: SettingsActivity.onResume
leak-426: SettingsActivity.onBackPressed
leak-427: SettingsActivity.onBackPressed
leak-428: SettingsActivity.onBackPressed
In file: FileSystemAdapter.java
Input operator: COMPLEXREACHABILITY
leak-429: FileSystemAdapter.FileSystemAdapter
leak-430: FileSystemAdapter.getView
leak-431: FileSystemAdapter.getView
leak-432: FileSystemAdapter.getView
leak-433: FileSystemAdapter.getView
leak-434: FileSystemAdapter.getView
leak-435: FileSystemAdapter.getView
leak-436: FileSystemAdapter.getView
leak-437: FileSystemAdapter.getView
leak-438: FileSystemAdapter.getView
leak-439: FileSystemAdapter.getView
leak-440: FileSystemAdapter.getFileExtention
leak-441: FileSystemAdapter.getFileExtention
leak-442: FileSystemAdapter.showFileSystem
leak-443: FileSystemAdapter.showFileSystem
leak-444: FileSystemAdapter.showFileSystem
leak-445: FileSystemAdapter.showFileSystem
leak-446: FileSystemAdapter.showFileSystem
leak-447: FileSystemAdapter.showFileSystem
leak-448: FileSystemAdapter.showFileSystem
leak-449: FileSystemAdapter.getRoot
leak-450: FileSystemAdapter.move
leak-451: FileSystemAdapter.move
leak-452: FileSystemAdapter.move
leak-453: FileSystemAdapter.move
leak-454: FileSystemAdapter.move
leak-455: FileSystemAdapter.move
leak-456: FileSystemAdapter.move
leak-457: FileSystemAdapter.move
leak-458: FileSystemAdapter.move
leak-459: FileSystemAdapter.addExtention
leak-460: FileSystemAdapter.clearExtentionMapping
leak-461: FileSystemAdapter.hasExtentions
leak-462: FileSystemAdapter.getPath
leak-463: FileSystemAdapter.setPath
leak-464: FileSystemAdapter.setOnGetView
In file: DefineClassFragment.java
Input operator: COMPLEXREACHABILITY
leak-465: calendarCheck.calendarCheck
leak-466: DefineClassFragment.DefineClassFragment
leak-467: DefineClassFragment.newInstance
