/home/amit/muse/output/afh_download/schemas/COMPLEXREACHABILITY/afh_download
In file: ApplicationTest.java
Input operator: COMPLEXREACHABILITY
leak-0: ApplicationTest.ApplicationTest
In file: AlarmReceiver.java
Input operator: COMPLEXREACHABILITY
leak-1: AlarmReceiver.onReceive
leak-2: AlarmReceiver.buildPath
In file: LogUtil.java
Input operator: COMPLEXREACHABILITY
leak-3: LogUtil.makeLogTag
In file: Download.java
Input operator: COMPLEXREACHABILITY
leak-4: Download.onStartCommand
leak-5: Download.onStartCommand
leak-6: Download.onStartCommand
leak-7: Download.onStartCommand
leak-8: Download.onBind
leak-9: ParseURL.doInBackground
leak-10: ParseURL.onPostExecute
leak-11: ParseURL.onPostExecute
leak-12: Download.parseUrl
leak-13: Download.parseUrl
leak-14: Download.parseUrl
leak-15: Download.parseUrl
leak-16: Download.parseUrl
leak-17: Download.parseUrl
leak-18: Download.getFirstUrl
leak-19: Download.getFirstUrl
leak-20: Download.getBaseUrl
leak-21: Download.getMD5
leak-22: Download.getMD5
leak-23: Download.getMD5
leak-24: Download.getMD5
leak-25: Download.getDLUrl
leak-26: Download.getDLUrl
leak-27: Download.getDLUrl
leak-28: Download.getDLUrl
leak-29: Download.getDLUrl
leak-30: dlMd5.doInBackground
leak-31: dlMd5.doInBackground
leak-32: dlMd5.doInBackground
leak-33: downloadFirstThread.doInBackground
leak-34: downloadFirstThread.onPostExecute
leak-35: ParseURLDownload.doInBackground
leak-36: ParseURLDownload.onPostExecute
leak-37: ParseURLDownload.onPostExecute
leak-38: Download.download
leak-39: Download.download
leak-40: Download.download
leak-41: Download.download
leak-42: Download.download
leak-43: Download.download
leak-44: Download.download
leak-45: Download.download
leak-46: Download.download
leak-47: Download.download
leak-48: Download.download
leak-49: Download.download
leak-50: Download.download
leak-51: Download.download
leak-52: Download.download
leak-53: Download.download
In file: DirectoryPicker.java
Input operator: COMPLEXREACHABILITY
leak-54: DirectoryPicker.onCreate
leak-55: DirectoryPicker.onCreate
leak-56: DirectoryPicker.onCreate
leak-57: DirectoryPicker.onCreate
leak-58: 1.onClick
leak-59: DirectoryPicker.onCreate
leak-60: 1.onItemClick
leak-61: DirectoryPicker.onActivityResult
leak-62: DirectoryPicker.onActivityResult
leak-63: DirectoryPicker.returnDir
leak-64: DirectoryPicker.returnDir
leak-65: DirectoryPicker.filter
leak-66: DirectoryPicker.filter
leak-67: DirectoryPicker.names
leak-68: DirectoryPicker.names
In file: PrefsFragment.java
Input operator: COMPLEXREACHABILITY
leak-69: PrefsFragment.onCreate
