/home/amit/muse/output/android-timetracker/schemas/COMPLEXREACHABILITY/android-timetracker
In file: TimeRangeTest.java
Input operator: COMPLEXREACHABILITY
leak-0: TimeRangeTest.testTimeRange
leak-1: TimeRangeTest.testSetters
leak-2: TimeRangeTest.testGetTotal
leak-3: TimeRangeTest.testToString
In file: TimeRange.java
Input operator: COMPLEXREACHABILITY
leak-4: TimeRange.TimeRange
leak-5: TimeRange.getStart
leak-6: TimeRange.setStart
leak-7: TimeRange.getEnd
leak-8: TimeRange.setEnd
leak-9: TimeRange.getTotal
leak-10: TimeRange.getTotal
leak-11: TimeRange.toString
leak-12: TimeRange.toString
leak-13: TimeRange.toString
leak-14: TimeRange.format
leak-15: TimeRange.format
leak-16: TimeRange.format
leak-17: TimeRange.compareTo
leak-18: TimeRange.compareTo
leak-19: TimeRange.compareTo
leak-20: TimeRange.compareTo
leak-21: TimeRange.compareTo
leak-22: TimeRange.compareTo
leak-23: TimeRange.compareTo
leak-24: TimeRange.compareTo
leak-25: TimeRange.compareTo
leak-26: TimeRange.equals
leak-27: TimeRange.equals
leak-28: TimeRange.equals
leak-29: TimeRange.hashCode
leak-30: TimeRange.overlap
leak-31: TimeRange.overlap
leak-32: TimeRange.overlap
In file: Activities.java
Input operator: COMPLEXREACHABILITY
leak-33: Activities.onCreate
leak-34: Activities.onCreate
leak-35: Activities.onCreate
leak-36: Activities.onCreate
leak-37: 1.run
leak-38: 1.run
leak-39: Activities.onCreate
leak-40: Activities.onCreate
leak-41: Activities.onCreate
leak-42: Activities.onCreate
leak-43: Activities.onPause
leak-44: Activities.onPause
leak-45: Activities.onStop
leak-46: Activities.onStop
leak-47: Activities.onStop
leak-48: Activities.onResume
leak-49: Activities.onResume
leak-50: Activities.onCreateOptionsMenu
leak-51: Activities.onCreateContextMenu
leak-52: Activities.onContextItemSelected
leak-53: Activities.onContextItemSelected
leak-54: Activities.onMenuItemSelected
leak-55: Activities.onCreateDialog
leak-56: Activities.onCreateDialog
leak-57: Activities.onCreateDialog
leak-58: Activities.onCreateDialog
leak-59: Activities.onCreateDialog
leak-60: Activities.perform
leak-61: Activities.perform
leak-62: Activities.perform
leak-63: Activities.perform
leak-64: Activities.perform
leak-65: Activities.openChangeViewDialog
leak-66: 1.onClick
leak-67: 1.onClick
leak-68: 1.onDateSet
leak-69: 1.onDateSet
leak-70: 1.onClick
leak-71: Activities.switchView
leak-72: Activities.setTitle
leak-73: Activities.setTitle
leak-74: Activities.openNewActivityDialog
leak-75: 1.onClick
leak-76: 1.onClick
leak-77: Activities.openEditActivityDialog
leak-78: Activities.openEditActivityDialog
leak-79: 1.onClick
leak-80: 1.onClick
leak-81: Activities.openDeleteActivityDialog
leak-82: Activities.openDeleteActivityDialog
leak-83: 1.onClick
leak-84: Activities.export
leak-85: Activities.export
leak-86: Activities.export
leak-87: Activities.export
leak-88: Activities.export
leak-89: Activities.getRangeName
leak-90: Activities.getRangeName
leak-91: Activities.getVersionName
leak-92: Activities.getVersionName
leak-93: Activities.getVersionName
leak-94: Activities.getVersionName
leak-95: Activities.openAboutDialog
leak-96: Activities.onPrepareDialog
leak-97: Activities.requestExport
leak-98: Activities.requestExport
leak-99: 1.onClick
leak-100: Activities.requestExport
leak-101: Activities.requestBackupRestore
leak-102: Activities.requestBackupRestore
leak-103: 1.onClick
leak-104: Activities.requestBackupRestore
leak-105: Activities.requestBackupCreation
leak-106: Activities.requestBackupCreation
leak-107: 1.onClick
leak-108: Activities.requestBackupCreation
leak-109: Activities.doExport
leak-110: Activities.doBackupRestore
leak-111: Activities.doBackupRestore
leak-112: Activities.doBackupRestore
leak-113: Activities.doBackupRestore
leak-114: Activities.doBackupRestore
leak-115: Activities.doBackupCreation
leak-116: Activities.doBackupCreation
leak-117: Activities.doBackupCreation
leak-118: Activities.doBackupCreation
leak-119: Activities.doBackupCreation
leak-120: Activities.doBackupCreation
leak-121: Activities.doBackupCreation
leak-122: Activities.doBackupCreation
leak-123: Activities.doBackupCreation
leak-124: Activities.doBackupCreation
leak-125: Activities.doBackupCreation
leak-126: Activities.doBackupCreation
leak-127: Activities.doBackupCreation
leak-128: Activities.onRequestPermissionsResult
leak-129: Activities.onRequestPermissionsResult
leak-130: Activities.onRequestPermissionsResult
leak-131: Activities.onRequestPermissionsResult
leak-132: ActivityView.ActivityView
leak-133: ActivityView.setActivity
leak-134: ActivityView.markupSelectedActivity
leak-135: ActivityView.markupSelectedActivity
leak-136: ActivityView.markupSelectedActivity
leak-137: Activities.formatTotal
leak-138: Activities.formatTotal
leak-139: Activities.formatTotal
leak-140: Activities.formatTotal
leak-141: Activities.formatTotal
leak-142: Activities.formatTotal
leak-143: ActivityAdapter.ActivityAdapter
leak-144: ActivityAdapter.close
leak-145: ActivityAdapter.loadActivities
leak-146: ActivityAdapter.loadActivity
leak-147: ActivityAdapter.loadActivities
leak-148: ActivityAdapter.makeWhereClause
leak-149: ActivityAdapter.makeWhereClause
leak-150: ActivityAdapter.makeWhereClause
leak-151: ActivityAdapter.loadActivities
leak-152: ActivityAdapter.loadActivities
leak-153: ActivityAdapter.loadActivities
leak-154: ActivityAdapter.loadActivities
leak-155: ActivityAdapter.loadActivities
leak-156: ActivityAdapter.loadActivities
leak-157: ActivityAdapter.getCurrentRange
leak-158: ActivityAdapter.getCurrentRange
leak-159: ActivityAdapter.findCurrentlyActive
leak-160: ActivityAdapter.findCurrentlyActive
leak-161: ActivityAdapter.findCurrentlyActive
leak-162: ActivityAdapter.addActivity
leak-163: ActivityAdapter.updateActivity
leak-164: ActivityAdapter.updateActivity
leak-165: ActivityAdapter.updateActivity
leak-166: ActivityAdapter.updateActivity
leak-167: ActivityAdapter.deleteActivity
leak-168: ActivityAdapter.getCount
leak-169: ActivityAdapter.getItem
leak-170: ActivityAdapter.getItemId
leak-171: ActivityAdapter.getView
leak-172: ActivityAdapter.getView
leak-173: ActivityAdapter.getView
leak-174: ActivityAdapter.getView
leak-175: ActivityAdapter.getView
leak-176: Activities.onListItemClick
leak-177: Activities.onListItemClick
leak-178: Activities.onListItemClick
leak-179: Activities.onListItemClick
leak-180: Activities.onListItemClick
leak-181: Activities.onListItemClick
leak-182: Activities.onListItemClick
leak-183: Activities.onListItemClick
leak-184: Activities.onListItemClick
leak-185: Activities.onListItemClick
leak-186: Activities.onListItemClick
leak-187: Activities.onListItemClick
leak-188: Activities.onListItemClick
leak-189: Activities.onListItemClick
leak-190: Activities.onListItemClick
leak-191: Activities.onActivityResult
leak-192: Activities.onActivityResult
leak-193: Activities.onActivityResult
leak-194: Activities.onActivityResult
leak-195: Activities.onActivityResult
leak-196: Activities.onActivityResult
leak-197: Activities.onActivityResult
leak-198: Activities.onActivityResult
leak-199: Activities.onActivityResult
leak-200: Activities.onActivityResult
leak-201: Activities.onActivityResult
leak-202: Activities.onActivityResult
leak-203: Activities.finishedCopy
leak-204: Activities.finishedCopy
In file: Settings.java
Input operator: COMPLEXREACHABILITY
leak-205: Settings.onCreate
leak-206: Settings.onCreate
leak-207: Settings.onCreate
leak-208: Settings.onCreate
leak-209: Settings.addBooleanPreference
leak-210: Settings.updateFontPrefs
leak-211: Settings.onListItemClick
leak-212: Settings.onListItemClick
leak-213: Settings.onListItemClick
leak-214: Settings.onListItemClick
leak-215: Settings.onListItemClick
leak-216: Settings.onClick
leak-217: Settings.onClick
leak-218: Settings.onClick
leak-219: Settings.onClick
leak-220: Settings.onClick
leak-221: Settings.onClick
leak-222: Settings.<init>
leak-223: Settings.<init>
leak-224: Settings.onCreateDialog
leak-225: 1.onClick
leak-226: 1.onClick
In file: DBBackup.java
Input operator: COMPLEXREACHABILITY
leak-227: DBBackup.DBBackup
leak-228: DBBackup.doInBackground
leak-229: DBBackup.doInBackground
leak-230: DBBackup.doInBackground
leak-231: DBBackup.doInBackground
leak-232: DBBackup.doInBackground
leak-233: DBBackup.doInBackground
leak-234: DBBackup.onPostExecute
leak-235: DBBackup.onProgressUpdate
leak-236: DBBackup.onProgressUpdate
leak-237: DBBackup.onProgressUpdate
leak-238: DBBackup.onProgressUpdate
leak-239: DBBackup.onProgressUpdate
leak-240: DBBackup.onCancelled
leak-241: DBBackup.copyTimes
leak-242: DBBackup.copyTimes
leak-243: DBBackup.copyTimes
leak-244: DBBackup.copyTimes
leak-245: DBBackup.copyTimes
leak-246: DBBackup.copyTimes
leak-247: DBBackup.copyTimes
leak-248: DBBackup.copyTimes
leak-249: DBBackup.copyTimes
leak-250: DBBackup.copyTimes
leak-251: DBBackup.copyActivity
leak-252: DBBackup.copyActivity
leak-253: DBBackup.readActivities
leak-254: DBBackup.readActivities
leak-255: DBBackup.readActivities
In file: DBHelper.java
Input operator: COMPLEXREACHABILITY
leak-256: DBHelper.DBHelper
leak-257: DBHelper.onCreate
leak-258: DBHelper.onUpgrade
leak-259: DBHelper.onUpgrade
leak-260: DBHelper.onUpgrade
In file: CSVExporter.java
Input operator: COMPLEXREACHABILITY
leak-261: CSVExporter.escape
leak-262: CSVExporter.escape
leak-263: CSVExporter.escape
