/home/amit/muse/output/android-timetracker/schemas/REACHABILITY/android-timetracker
In file: TimeRangeTest.java
Input operator: REACHABILITY
leak-0: <TimeRangeTest.<init>>
leak-1: TimeRangeTest.testTimeRange
leak-2: TimeRangeTest.testSetters
leak-3: TimeRangeTest.testGetTotal
leak-4: TimeRangeTest.testToString
In file: TimeRange.java
Input operator: REACHABILITY
leak-5: <TimeRange.<init>>
leak-6: TimeRange.TimeRange
leak-7: TimeRange.getStart
leak-8: TimeRange.setStart
leak-9: TimeRange.getEnd
leak-10: TimeRange.setEnd
leak-11: TimeRange.getTotal
leak-12: TimeRange.getTotal
leak-13: TimeRange.toString
leak-14: TimeRange.toString
leak-15: TimeRange.toString
leak-16: TimeRange.format
leak-17: TimeRange.format
leak-18: TimeRange.format
leak-19: TimeRange.compareTo
leak-20: TimeRange.compareTo
leak-21: TimeRange.compareTo
leak-22: TimeRange.compareTo
leak-23: TimeRange.compareTo
leak-24: TimeRange.compareTo
leak-25: TimeRange.compareTo
leak-26: TimeRange.compareTo
leak-27: TimeRange.compareTo
leak-28: TimeRange.equals
leak-29: TimeRange.equals
leak-30: TimeRange.equals
leak-31: TimeRange.hashCode
leak-32: TimeRange.overlap
leak-33: TimeRange.overlap
leak-34: TimeRange.overlap
In file: Activities.java
Input operator: REACHABILITY
leak-35: <Activities.<init>>
leak-36: Activities.onCreate
leak-37: Activities.onCreate
leak-38: Activities.onCreate
leak-39: Activities.onCreate
leak-40: <1.<init>>
leak-41: 1.run
leak-42: 1.run
leak-43: Activities.onCreate
leak-44: Activities.onCreate
leak-45: Activities.onCreate
leak-46: Activities.onCreate
leak-47: Activities.onPause
leak-48: Activities.onPause
leak-49: Activities.onStop
leak-50: Activities.onStop
leak-51: Activities.onStop
leak-52: Activities.onResume
leak-53: Activities.onResume
leak-54: Activities.onCreateOptionsMenu
leak-55: Activities.onCreateContextMenu
leak-56: Activities.onContextItemSelected
leak-57: Activities.onContextItemSelected
leak-58: Activities.onMenuItemSelected
leak-59: Activities.onCreateDialog
leak-60: Activities.onCreateDialog
leak-61: Activities.onCreateDialog
leak-62: Activities.onCreateDialog
leak-63: Activities.onCreateDialog
leak-64: Activities.perform
leak-65: Activities.perform
leak-66: Activities.perform
leak-67: Activities.perform
leak-68: Activities.perform
leak-69: Activities.openChangeViewDialog
leak-70: <1.<init>>
leak-71: 1.onClick
leak-72: 1.onClick
leak-73: <1.<init>>
leak-74: 1.onDateSet
leak-75: <1.<init>>
leak-76: 1.onDateSet
leak-77: 1.onClick
leak-78: Activities.switchView
leak-79: Activities.setTitle
leak-80: Activities.setTitle
leak-81: Activities.openNewActivityDialog
leak-82: <1.<init>>
leak-83: 1.onClick
leak-84: 1.onClick
leak-85: Activities.openEditActivityDialog
leak-86: Activities.openEditActivityDialog
leak-87: <1.<init>>
leak-88: 1.onClick
leak-89: 1.onClick
leak-90: Activities.openDeleteActivityDialog
leak-91: Activities.openDeleteActivityDialog
leak-92: <1.<init>>
leak-93: 1.onClick
leak-94: Activities.export
leak-95: Activities.export
leak-96: Activities.export
leak-97: Activities.export
leak-98: Activities.export
leak-99: Activities.getRangeName
leak-100: Activities.getRangeName
leak-101: Activities.getVersionName
leak-102: Activities.getVersionName
leak-103: Activities.getVersionName
leak-104: Activities.getVersionName
leak-105: Activities.openAboutDialog
leak-106: Activities.onPrepareDialog
leak-107: Activities.requestExport
leak-108: Activities.requestExport
leak-109: <1.<init>>
leak-110: 1.onClick
leak-111: Activities.requestExport
leak-112: Activities.requestBackupRestore
leak-113: Activities.requestBackupRestore
leak-114: <1.<init>>
leak-115: 1.onClick
leak-116: Activities.requestBackupRestore
leak-117: Activities.requestBackupCreation
leak-118: Activities.requestBackupCreation
leak-119: <1.<init>>
leak-120: 1.onClick
leak-121: Activities.requestBackupCreation
leak-122: Activities.doExport
leak-123: Activities.doBackupRestore
leak-124: Activities.doBackupRestore
leak-125: Activities.doBackupRestore
leak-126: Activities.doBackupRestore
leak-127: Activities.doBackupRestore
leak-128: Activities.doBackupCreation
leak-129: Activities.doBackupCreation
leak-130: Activities.doBackupCreation
leak-131: Activities.doBackupCreation
leak-132: Activities.doBackupCreation
leak-133: Activities.doBackupCreation
leak-134: Activities.doBackupCreation
leak-135: Activities.doBackupCreation
leak-136: Activities.doBackupCreation
leak-137: Activities.doBackupCreation
leak-138: Activities.doBackupCreation
leak-139: Activities.doBackupCreation
leak-140: Activities.doBackupCreation
leak-141: Activities.onRequestPermissionsResult
leak-142: Activities.onRequestPermissionsResult
leak-143: Activities.onRequestPermissionsResult
leak-144: Activities.onRequestPermissionsResult
leak-145: <ActivityView.<init>>
leak-146: ActivityView.ActivityView
leak-147: ActivityView.setActivity
leak-148: ActivityView.markupSelectedActivity
leak-149: ActivityView.markupSelectedActivity
leak-150: ActivityView.markupSelectedActivity
leak-151: Activities.formatTotal
leak-152: Activities.formatTotal
leak-153: Activities.formatTotal
leak-154: Activities.formatTotal
leak-155: Activities.formatTotal
leak-156: Activities.formatTotal
leak-157: <ActivityAdapter.<init>>
leak-158: ActivityAdapter.ActivityAdapter
leak-159: ActivityAdapter.close
leak-160: ActivityAdapter.loadActivities
leak-161: ActivityAdapter.loadActivity
leak-162: ActivityAdapter.loadActivities
leak-163: ActivityAdapter.makeWhereClause
leak-164: ActivityAdapter.makeWhereClause
leak-165: ActivityAdapter.makeWhereClause
leak-166: ActivityAdapter.loadActivities
leak-167: ActivityAdapter.loadActivities
