/home/amit/muse/output/device-explorer/schemas/REACHABILITY/device-explorer
In file: ItemDetailActivity.java
Input operator: REACHABILITY
leak-0: <ItemDetailActivity.<init>>
leak-1: ItemDetailActivity.onCreate
leak-2: ItemDetailActivity.onCreate
leak-3: ItemDetailActivity.onCreate
leak-4: ItemDetailActivity.onOptionsItemSelected
In file: ItemListActivity.java
Input operator: REACHABILITY
leak-5: <ItemListActivity.<init>>
leak-6: ItemListActivity.weHavePermission
leak-7: ItemListActivity.requestForResultContactsPermission
leak-8: ItemListActivity.onRequestPermissionsResult
leak-9: ItemListActivity.onRequestPermissionsResult
leak-10: ItemListActivity.onRequestPermissionsResult
leak-11: <1.<init>>
leak-12: 1.onClick
leak-13: ItemListActivity.requestPermissionFirst
leak-14: ItemListActivity.requestPermissionFirst
leak-15: <1.<init>>
leak-16: 1.onClick
leak-17: ItemListActivity.requestPermissionFirst
leak-18: ItemListActivity.onCreate
leak-19: ItemListActivity.onCreate
leak-20: ItemListActivity.onCreate
leak-21: ItemListActivity.onCreate
leak-22: ItemListActivity.onCreate
leak-23: ItemListActivity.getCpuUsageImage
leak-24: ItemListActivity.getCpuUsageImage
leak-25: ItemListActivity.getCpuUsageImage
leak-26: ItemListActivity.getCpuUsageImage
leak-27: ItemListActivity.getCpuUsageImage
leak-28: ItemListActivity.getCpuUsageImage
leak-29: ItemListActivity.getCpuUsageImage
leak-30: ItemListActivity.getCpuUsageImage
leak-31: ItemListActivity.getCpuUsageImage
leak-32: ItemListActivity.getCpuUsageImage
leak-33: ItemListActivity.getCpuUsageImage
leak-34: ItemListActivity.startApp
leak-35: <1.<init>>
leak-36: 1.run
leak-37: 1.run
leak-38: 1.run
leak-39: <1.<init>>
leak-40: 1.run
leak-41: 1.run
leak-42: ItemListActivity.startApp
leak-43: ItemListActivity.onItemSelected
leak-44: ItemListActivity.onItemSelected
leak-45: ItemListActivity.onItemSelected
In file: RVAdapter.java
Input operator: REACHABILITY
leak-46: <RVAdapter.<init>>
leak-47: RVAdapter.RVAdapter
leak-48: RVAdapter.onCreateViewHolder
leak-49: RVAdapter.onBindViewHolder
leak-50: RVAdapter.getItemCount
leak-51: RVAdapter.onAttachedToRecyclerView
leak-52: <PersonViewHolder.<init>>
leak-53: PersonViewHolder.PersonViewHolder
In file: Content.java
Input operator: REACHABILITY
leak-54: <Content.<init>>
leak-55: Content.addItem
leak-56: <ItemDetails.<init>>
leak-57: ItemDetails.ItemDetails
leak-58: ItemDetails.ItemDetails
leak-59: ItemDetails.ItemDetails
leak-60: ItemDetails.ItemDetails
leak-61: ItemDetails.getName
leak-62: ItemDetails.getDetail
leak-63: <Item.<init>>
leak-64: Item.Item
leak-65: Item.getLabel
leak-66: Item.getDetailedItems
leak-67: Item.toString
leak-68: <PIS.<init>>
leak-69: PIS.PIS
leak-70: Content.formatBitmask
leak-71: Content.formatBitmask
leak-72: Content.formatBitmask
leak-73: Content.formatBitmask
leak-74: Content.formatBitmask
leak-75: <BuildItem.<init>>
leak-76: BuildItem.getDetailedItems
leak-77: BuildItem.getDetailedItems
leak-78: BuildItem.getDetailedItems
leak-79: BuildItem.BuildItem
leak-80: BuildItem.getContents
leak-81: <RuntimeItem.<init>>
leak-82: RuntimeItem.RuntimeItem
leak-83: RuntimeItem.getDetailedItems
leak-84: RuntimeItem.getContents
leak-85: <ConfigurationInfoItem.<init>>
leak-86: ConfigurationInfoItem.getDetailedItems
leak-87: ConfigurationInfoItem.ConfigurationInfoItem
leak-88: ConfigurationInfoItem.getContents
leak-89: <ConfigItem.<init>>
leak-90: ConfigItem.getDetailedItems
leak-91: ConfigItem.ConfigItem
leak-92: ConfigItem.getConfig
leak-93: ConfigItem.getContents
leak-94: <OpenGLItem.<init>>
leak-95: OpenGLItem.OpenGLItem
leak-96: OpenGLItem.getDetailedItems
leak-97: OpenGLItem.getDetailedItems
leak-98: OpenGLItem.getContents
leak-99: OpenGLItem.getContents
leak-100: OpenGLItem.getContents
leak-101: <FileInfo.<init>>
leak-102: FileInfo.getDetailedItems
leak-103: FileInfo.FileInfo
leak-104: FileInfo.getContents
leak-105: <InputDeviceInfo.<init>>
leak-106: InputDeviceInfo.InputDeviceInfo
leak-107: InputDeviceInfo.getDetailedItems
leak-108: InputDeviceInfo.getDetailedItems
leak-109: InputDeviceInfo.getContents
