/home/amit/muse/output/kaltura/schemas/REACHABILITY/kaltura
In file: Collector.java
Input operator: REACHABILITY
leak-0: <Collector.<init>>
leak-1: Collector.getReport
leak-2: Collector.getReport
leak-3: Collector.getReport
leak-4: Collector.getReport
leak-5: Collector.Collector
leak-6: Collector.collect
leak-7: Collector.collect
leak-8: Collector.collect
leak-9: Collector.trebleInfo
leak-10: Collector.cameraOldAPI
leak-11: Collector.cameraOldAPI
leak-12: Collector.cameraOldAPI
leak-13: Collector.cameraOldAPI
leak-14: Collector.camera2API
leak-15: Collector.camera2API
leak-16: Collector.camera2API
leak-17: Collector.camera2API
leak-18: Collector.camera2API
leak-19: Collector.tech2API
leak-20: Collector.tech2API
leak-21: Collector.tech2API
leak-22: Collector.tech2API
leak-23: Collector.tech2API
leak-24: Collector.selfMounts
leak-25: Collector.selfMounts
leak-26: Collector.selfMounts
leak-27: Collector.selfMounts
leak-28: Collector.selfMounts
leak-29: Collector.selfMounts
leak-30: Collector.selfMounts
leak-31: Collector.dumpsysL
leak-32: Collector.systemFL
leak-33: Collector.systemFL
leak-34: Collector.systemFL
leak-35: Collector.systemFL
leak-36: Collector.systemFL
leak-37: Collector.systemFL
leak-38: Collector.systemFL
leak-39: Collector.systemArch
leak-40: Collector.systemArch
leak-41: Collector.systemArch
leak-42: Collector.meta
leak-43: Collector.displayInfo
leak-44: Collector.displayInfo
leak-45: Collector.displayInfo
leak-46: Collector.displayInfo
leak-47: Collector.displayInfo
leak-48: Collector.drmInfo
leak-49: Collector.classicDrmInfo
leak-50: Collector.classicDrmInfo
leak-51: Collector.classicDrmInfo
leak-52: Collector.classicDrmInfo
leak-53: Collector.jsonArray
leak-54: Collector.jsonArray
leak-55: Collector.jsonArray
leak-56: Collector.mediaCodecInfo
leak-57: Collector.mediaCodecInfo
leak-58: Collector.mediaCodecInfo
leak-59: Collector.mediaCodecInfo
leak-60: Collector.mediaCodecInfo
leak-61: Collector.mediaCodecInfo
leak-62: Collector.mediaCodecInfo
leak-63: Collector.mediaCodecInfo
leak-64: Collector.mediaCodecInfo
leak-65: <1.<init>>
leak-66: 1.compare
leak-67: Collector.modularDrmInfo
leak-68: Collector.modularDrmInfo
leak-69: Collector.modularDrmInfo
leak-70: Collector.widevineModularDrmInfo
leak-71: Collector.widevineModularDrmInfo
leak-72: Collector.widevineModularDrmInfo
leak-73: Collector.widevineModularDrmInfo
leak-74: <1.<init>>
leak-75: 1.onEvent
leak-76: 1.onEvent
leak-77: 1.onEvent
leak-78: Collector.widevineModularDrmInfo
leak-79: Collector.widevineModularDrmInfo
leak-80: Collector.widevineModularDrmInfo
leak-81: Collector.widevineModularDrmInfo
leak-82: Collector.widevineModularDrmInfo
leak-83: Collector.widevineModularDrmInfo
leak-84: Collector.widevineModularDrmInfo
leak-85: Collector.widevineModularDrmInfo
leak-86: Collector.androidInfo
leak-87: Collector.androidInfo
leak-88: Collector.androidInfo
leak-89: Collector.systemInfo
leak-90: Collector.securityProviders
leak-91: Collector.securityProviders
leak-92: Collector.rootInfo
leak-93: Collector.rootInfo
leak-94: Collector.rootInfo
leak-95: Collector.getRequestNonce
leak-96: Collector.getZpack
leak-97: Collector.getZpack
leak-98: Collector.getZpack
leak-99: Collector.getZpack
leak-100: Collector.getCpu
leak-101: Collector.getCpu
leak-102: Collector.getCpu
leak-103: Collector.getCpu
In file: MainActivity.java
Input operator: REACHABILITY
leak-104: <MainActivity.<init>>
leak-105: MainActivity.showReport
leak-106: MainActivity.onCreate
leak-107: <1.<init>>
leak-108: 1.onClick
leak-109: MainActivity.onCreateOptionsMenu
leak-110: MainActivity.onOptionsItemSelected
leak-111: MainActivity.onOptionsItemSelected
leak-112: MainActivity.showActionsDialog
leak-113: <1.<init>>
leak-114: 1.onClick
leak-115: MainActivity.showZinfo
leak-116: MainActivity.showZinfo
leak-117: MainActivity.showZinfo
leak-118: MainActivity.startProvision
leak-119: MainActivity.provisionFailed
leak-120: MainActivity.provisionSuccessful
leak-121: MainActivity.shareReport
leak-122: MainActivity.intentWithText
leak-123: <CollectorTask.<init>>
leak-124: CollectorTask.doInBackground
leak-125: CollectorTask.onPostExecute
leak-126: CollectorTask.onPostExecute
leak-127: CollectorTask.onPostExecute
leak-128: <ProvisionTask.<init>>
leak-129: ProvisionTask.ProvisionTask
leak-130: ProvisionTask.doInBackground
leak-131: ProvisionTask.doInBackground
leak-132: ProvisionTask.doInBackground
leak-133: ProvisionTask.onPostExecute
leak-134: ProvisionTask.onPostExecute
leak-135: ProvisionTask.onPostExecute
leak-136: ProvisionTask.provisionWidevine
leak-137: ProvisionTask.provisionWidevine
leak-138: ProvisionTask.provisionWidevine
leak-139: MainActivity.showIDs
leak-140: MainActivity.displayIDs
leak-141: MainActivity.displayIDs
leak-142: MainActivity.displayIDs
In file: Utils.java
Input operator: REACHABILITY
leak-143: <Utils.<init>>
leak-144: Utils.getProp
leak-145: Utils.getProp
leak-146: Utils.getProp
leak-147: Utils.semicolonJson
leak-148: Utils.semicolonJson
leak-149: Utils.semicolonSortedJson
leak-150: Utils.semicolonSortedJson
leak-151: Utils.semicolonSortedJson
leak-152: Utils.getZinfo
leak-153: Utils.getZinfo
leak-154: Utils.getZinfo
leak-155: Utils.getZinfo
