/home/amit/muse/output/afh_download/schemas/SINK/afh_download
In file: ApplicationTest.java
Input operator: SINK
leak-0-0: ApplicationTest.ApplicationTest
In file: AlarmReceiver.java
Input operator: SINK
leak-2-0: AlarmReceiver.onReceive
leak-1-0: AlarmReceiver.onReceive
leak-2-1: AlarmReceiver.buildPath
leak-1-1: AlarmReceiver.buildPath
In file: LogUtil.java
Input operator: SINK
In file: Download.java
Input operator: SINK
leak-24-0: Download.onStartCommand
leak-23-0: Download.onStartCommand
leak-21-0: Download.onStartCommand
leak-19-0: Download.onStartCommand
leak-17-0: Download.onStartCommand
leak-15-0: Download.onStartCommand
leak-13-0: Download.onStartCommand
leak-12-0: Download.onStartCommand
leak-11-0: Download.onStartCommand
leak-10-0: Download.onStartCommand
leak-9-0: Download.onStartCommand
leak-8-0: Download.onStartCommand
leak-6-0: Download.onStartCommand
leak-4-0: Download.onStartCommand
leak-3-0: Download.onStartCommand
leak-24-1: Download.onBind
leak-23-1: Download.onBind
leak-21-1: Download.onBind
leak-19-1: Download.onBind
leak-17-1: Download.onBind
leak-15-1: Download.onBind
leak-13-1: Download.onBind
leak-12-1: Download.onBind
leak-11-1: Download.onBind
leak-10-1: Download.onBind
leak-9-1: Download.onBind
leak-8-1: Download.onBind
leak-6-1: Download.onBind
leak-4-1: Download.onBind
leak-3-1: Download.onBind
leak-7-0: ParseURL.doInBackground
leak-5-0: ParseURL.doInBackground
leak-24-2: ParseURL.doInBackground
leak-23-2: ParseURL.doInBackground
leak-21-2: ParseURL.doInBackground
leak-19-2: ParseURL.doInBackground
leak-17-2: ParseURL.doInBackground
leak-15-2: ParseURL.doInBackground
leak-13-2: ParseURL.doInBackground
leak-12-2: ParseURL.doInBackground
leak-11-2: ParseURL.doInBackground
leak-10-2: ParseURL.doInBackground
leak-9-2: ParseURL.doInBackground
leak-8-2: ParseURL.doInBackground
leak-6-2: ParseURL.doInBackground
leak-4-2: ParseURL.doInBackground
leak-3-2: ParseURL.doInBackground
leak-7-1: ParseURL.onPostExecute
leak-5-1: ParseURL.onPostExecute
leak-24-3: ParseURL.onPostExecute
leak-23-3: ParseURL.onPostExecute
leak-21-3: ParseURL.onPostExecute
leak-19-3: ParseURL.onPostExecute
leak-17-3: ParseURL.onPostExecute
leak-15-3: ParseURL.onPostExecute
leak-13-3: ParseURL.onPostExecute
leak-12-3: ParseURL.onPostExecute
leak-11-3: ParseURL.onPostExecute
leak-10-3: ParseURL.onPostExecute
leak-9-3: ParseURL.onPostExecute
leak-8-3: ParseURL.onPostExecute
leak-6-3: ParseURL.onPostExecute
leak-4-3: ParseURL.onPostExecute
leak-3-3: ParseURL.onPostExecute
leak-24-4: Download.parseUrl
leak-23-4: Download.parseUrl
leak-21-4: Download.parseUrl
leak-19-4: Download.parseUrl
leak-17-4: Download.parseUrl
leak-15-4: Download.parseUrl
leak-13-4: Download.parseUrl
leak-12-4: Download.parseUrl
leak-11-4: Download.parseUrl
leak-10-4: Download.parseUrl
leak-9-4: Download.parseUrl
leak-8-4: Download.parseUrl
leak-6-4: Download.parseUrl
leak-4-4: Download.parseUrl
leak-3-4: Download.parseUrl
leak-24-5: Download.getFirstUrl
leak-23-5: Download.getFirstUrl
leak-21-5: Download.getFirstUrl
leak-19-5: Download.getFirstUrl
leak-17-5: Download.getFirstUrl
leak-15-5: Download.getFirstUrl
leak-13-5: Download.getFirstUrl
leak-12-5: Download.getFirstUrl
leak-11-5: Download.getFirstUrl
leak-10-5: Download.getFirstUrl
leak-9-5: Download.getFirstUrl
leak-8-5: Download.getFirstUrl
leak-6-5: Download.getFirstUrl
leak-4-5: Download.getFirstUrl
leak-3-5: Download.getFirstUrl
leak-24-6: Download.getBaseUrl
leak-23-6: Download.getBaseUrl
leak-21-6: Download.getBaseUrl
leak-19-6: Download.getBaseUrl
leak-17-6: Download.getBaseUrl
leak-15-6: Download.getBaseUrl
leak-13-6: Download.getBaseUrl
leak-12-6: Download.getBaseUrl
leak-11-6: Download.getBaseUrl
leak-10-6: Download.getBaseUrl
leak-9-6: Download.getBaseUrl
leak-8-6: Download.getBaseUrl
leak-6-6: Download.getBaseUrl
leak-4-6: Download.getBaseUrl
leak-3-6: Download.getBaseUrl
leak-24-7: Download.getMD5
leak-23-7: Download.getMD5
leak-21-7: Download.getMD5
leak-19-7: Download.getMD5
leak-17-7: Download.getMD5
leak-15-7: Download.getMD5
leak-13-7: Download.getMD5
leak-12-7: Download.getMD5
leak-11-7: Download.getMD5
leak-10-7: Download.getMD5
leak-9-7: Download.getMD5
leak-8-7: Download.getMD5
leak-6-7: Download.getMD5
leak-4-7: Download.getMD5
leak-3-7: Download.getMD5
leak-24-8: Download.getDLUrl
leak-23-8: Download.getDLUrl
leak-21-8: Download.getDLUrl
leak-19-8: Download.getDLUrl
leak-17-8: Download.getDLUrl
leak-15-8: Download.getDLUrl
leak-13-8: Download.getDLUrl
leak-12-8: Download.getDLUrl
leak-11-8: Download.getDLUrl
leak-10-8: Download.getDLUrl
leak-9-8: Download.getDLUrl
leak-8-8: Download.getDLUrl
leak-6-8: Download.getDLUrl
leak-4-8: Download.getDLUrl
leak-3-8: Download.getDLUrl
leak-14-0: dlMd5.doInBackground
leak-24-9: dlMd5.doInBackground
leak-23-9: dlMd5.doInBackground
leak-21-9: dlMd5.doInBackground
leak-19-9: dlMd5.doInBackground
leak-17-9: dlMd5.doInBackground
leak-15-9: dlMd5.doInBackground
leak-13-9: dlMd5.doInBackground
leak-12-9: dlMd5.doInBackground
leak-11-9: dlMd5.doInBackground
leak-10-9: dlMd5.doInBackground
leak-9-9: dlMd5.doInBackground
leak-8-9: dlMd5.doInBackground
leak-6-9: dlMd5.doInBackground
leak-4-9: dlMd5.doInBackground
leak-3-9: dlMd5.doInBackground
leak-18-0: downloadFirstThread.doInBackground
leak-16-0: downloadFirstThread.doInBackground
leak-24-10: downloadFirstThread.doInBackground
leak-23-10: downloadFirstThread.doInBackground
leak-21-10: downloadFirstThread.doInBackground
leak-19-10: downloadFirstThread.doInBackground
leak-17-10: downloadFirstThread.doInBackground
leak-15-10: downloadFirstThread.doInBackground
leak-13-10: downloadFirstThread.doInBackground
leak-12-10: downloadFirstThread.doInBackground
leak-11-10: downloadFirstThread.doInBackground
leak-10-10: downloadFirstThread.doInBackground
leak-9-10: downloadFirstThread.doInBackground
leak-8-10: downloadFirstThread.doInBackground
leak-6-10: downloadFirstThread.doInBackground
leak-4-10: downloadFirstThread.doInBackground
leak-3-10: downloadFirstThread.doInBackground
leak-18-1: downloadFirstThread.onPostExecute
leak-16-1: downloadFirstThread.onPostExecute
leak-24-11: downloadFirstThread.onPostExecute
leak-23-11: downloadFirstThread.onPostExecute
leak-21-11: downloadFirstThread.onPostExecute
leak-19-11: downloadFirstThread.onPostExecute
leak-17-11: downloadFirstThread.onPostExecute
leak-15-11: downloadFirstThread.onPostExecute
leak-13-11: downloadFirstThread.onPostExecute
leak-12-11: downloadFirstThread.onPostExecute
leak-11-11: downloadFirstThread.onPostExecute
leak-10-11: downloadFirstThread.onPostExecute
leak-9-11: downloadFirstThread.onPostExecute
leak-8-11: downloadFirstThread.onPostExecute
leak-6-11: downloadFirstThread.onPostExecute
leak-4-11: downloadFirstThread.onPostExecute
leak-3-11: downloadFirstThread.onPostExecute
leak-22-0: ParseURLDownload.doInBackground
leak-20-0: ParseURLDownload.doInBackground
leak-24-12: ParseURLDownload.doInBackground
leak-23-12: ParseURLDownload.doInBackground
leak-21-12: ParseURLDownload.doInBackground
leak-19-12: ParseURLDownload.doInBackground
leak-17-12: ParseURLDownload.doInBackground
leak-15-12: ParseURLDownload.doInBackground
leak-13-12: ParseURLDownload.doInBackground
leak-12-12: ParseURLDownload.doInBackground
leak-11-12: ParseURLDownload.doInBackground
leak-10-12: ParseURLDownload.doInBackground
leak-9-12: ParseURLDownload.doInBackground
leak-8-12: ParseURLDownload.doInBackground
leak-6-12: ParseURLDownload.doInBackground
leak-4-12: ParseURLDownload.doInBackground
leak-3-12: ParseURLDownload.doInBackground
leak-22-1: ParseURLDownload.onPostExecute
leak-20-1: ParseURLDownload.onPostExecute
leak-24-13: ParseURLDownload.onPostExecute
leak-23-13: ParseURLDownload.onPostExecute
leak-21-13: ParseURLDownload.onPostExecute
leak-19-13: ParseURLDownload.onPostExecute
leak-17-13: ParseURLDownload.onPostExecute
leak-15-13: ParseURLDownload.onPostExecute
leak-13-13: ParseURLDownload.onPostExecute
leak-12-13: ParseURLDownload.onPostExecute
leak-11-13: ParseURLDownload.onPostExecute
leak-10-13: ParseURLDownload.onPostExecute
leak-9-13: ParseURLDownload.onPostExecute
leak-8-13: ParseURLDownload.onPostExecute
leak-6-13: ParseURLDownload.onPostExecute
leak-4-13: ParseURLDownload.onPostExecute
leak-3-13: ParseURLDownload.onPostExecute
leak-24-14: Download.download
leak-23-14: Download.download
leak-21-14: Download.download
leak-19-14: Download.download
leak-17-14: Download.download
leak-15-14: Download.download
leak-13-14: Download.download
leak-12-14: Download.download
leak-11-14: Download.download
leak-10-14: Download.download
leak-9-14: Download.download
leak-8-14: Download.download
leak-6-14: Download.download
leak-4-14: Download.download
leak-3-14: Download.download
In file: DirectoryPicker.java
Input operator: SINK
leak-31-0: DirectoryPicker.onCreate
leak-30-0: DirectoryPicker.onCreate
leak-29-0: DirectoryPicker.onCreate
leak-28-0: DirectoryPicker.onCreate
leak-25-0: DirectoryPicker.onCreate
leak-26-0: 1.onClick
leak-33-0: 1.onClick
leak-27-0: 1.onItemClick
leak-34-0: 1.onItemClick
leak-31-1: DirectoryPicker.onActivityResult
leak-30-1: DirectoryPicker.onActivityResult
leak-29-1: DirectoryPicker.onActivityResult
leak-28-1: DirectoryPicker.onActivityResult
leak-25-1: DirectoryPicker.onActivityResult
leak-31-2: DirectoryPicker.returnDir
leak-30-2: DirectoryPicker.returnDir
leak-29-2: DirectoryPicker.returnDir
leak-28-2: DirectoryPicker.returnDir
leak-25-2: DirectoryPicker.returnDir
leak-31-3: DirectoryPicker.filter
leak-30-3: DirectoryPicker.filter
leak-29-3: DirectoryPicker.filter
leak-28-3: DirectoryPicker.filter
leak-25-3: DirectoryPicker.filter
leak-31-4: DirectoryPicker.names
leak-30-4: DirectoryPicker.names
leak-29-4: DirectoryPicker.names
leak-28-4: DirectoryPicker.names
leak-25-4: DirectoryPicker.names
In file: PrefsFragment.java
Input operator: SINK
leak-34-0: PrefsFragment.onCreate
leak-35-0: 1.onPreferenceClick
leak-37-0: 1.onPreferenceClick
In file: SetPreferenceActivity.java
Input operator: SINK
leak-37-0: SetPreferenceActivity.onCreate
In file: MainActivity.java
Input operator: SINK
leak-65-0: MainActivity.onCreate
leak-64-0: MainActivity.onCreate
leak-63-0: MainActivity.onCreate
leak-60-0: MainActivity.onCreate
leak-55-0: MainActivity.onCreate
leak-54-0: MainActivity.onCreate
leak-53-0: MainActivity.onCreate
leak-52-0: MainActivity.onCreate
leak-51-0: MainActivity.onCreate
leak-50-0: MainActivity.onCreate
leak-49-0: MainActivity.onCreate
leak-47-0: MainActivity.onCreate
leak-46-0: MainActivity.onCreate
leak-45-0: MainActivity.onCreate
leak-44-0: MainActivity.onCreate
leak-43-0: MainActivity.onCreate
leak-42-0: MainActivity.onCreate
leak-41-0: MainActivity.onCreate
leak-40-0: MainActivity.onCreate
leak-39-0: MainActivity.onCreate
leak-38-0: MainActivity.onCreate
leak-65-1: MainActivity.onActivityResult
leak-64-1: MainActivity.onActivityResult
leak-63-1: MainActivity.onActivityResult
leak-60-1: MainActivity.onActivityResult
leak-55-1: MainActivity.onActivityResult
leak-54-1: MainActivity.onActivityResult
leak-53-1: MainActivity.onActivityResult
leak-52-1: MainActivity.onActivityResult
leak-51-1: MainActivity.onActivityResult
leak-50-1: MainActivity.onActivityResult
leak-49-1: MainActivity.onActivityResult
leak-47-1: MainActivity.onActivityResult
leak-46-1: MainActivity.onActivityResult
leak-45-1: MainActivity.onActivityResult
leak-44-1: MainActivity.onActivityResult
leak-43-1: MainActivity.onActivityResult
leak-42-1: MainActivity.onActivityResult
leak-41-1: MainActivity.onActivityResult
leak-40-1: MainActivity.onActivityResult
leak-39-1: MainActivity.onActivityResult
leak-38-1: MainActivity.onActivityResult
leak-65-2: MainActivity.setAlarm
leak-64-2: MainActivity.setAlarm
leak-63-2: MainActivity.setAlarm
leak-60-2: MainActivity.setAlarm
leak-55-2: MainActivity.setAlarm
leak-54-2: MainActivity.setAlarm
leak-53-2: MainActivity.setAlarm
leak-52-2: MainActivity.setAlarm
leak-51-2: MainActivity.setAlarm
leak-50-2: MainActivity.setAlarm
leak-49-2: MainActivity.setAlarm
leak-47-2: MainActivity.setAlarm
leak-46-2: MainActivity.setAlarm
leak-45-2: MainActivity.setAlarm
leak-44-2: MainActivity.setAlarm
leak-43-2: MainActivity.setAlarm
leak-42-2: MainActivity.setAlarm
leak-41-2: MainActivity.setAlarm
leak-40-2: MainActivity.setAlarm
leak-39-2: MainActivity.setAlarm
leak-38-2: MainActivity.setAlarm
leak-65-3: MainActivity.getPref
leak-64-3: MainActivity.getPref
leak-63-3: MainActivity.getPref
leak-60-3: MainActivity.getPref
leak-55-3: MainActivity.getPref
leak-54-3: MainActivity.getPref
leak-53-3: MainActivity.getPref
leak-52-3: MainActivity.getPref
leak-51-3: MainActivity.getPref
leak-50-3: MainActivity.getPref
leak-49-3: MainActivity.getPref
leak-47-3: MainActivity.getPref
leak-46-3: MainActivity.getPref
leak-45-3: MainActivity.getPref
leak-44-3: MainActivity.getPref
leak-43-3: MainActivity.getPref
leak-42-3: MainActivity.getPref
leak-41-3: MainActivity.getPref
leak-40-3: MainActivity.getPref
leak-39-3: MainActivity.getPref
leak-38-3: MainActivity.getPref
leak-65-4: MainActivity.setRecurringAlarm
leak-64-4: MainActivity.setRecurringAlarm
leak-63-4: MainActivity.setRecurringAlarm
leak-60-4: MainActivity.setRecurringAlarm
leak-55-4: MainActivity.setRecurringAlarm
leak-54-4: MainActivity.setRecurringAlarm
leak-53-4: MainActivity.setRecurringAlarm
leak-52-4: MainActivity.setRecurringAlarm
leak-51-4: MainActivity.setRecurringAlarm
leak-50-4: MainActivity.setRecurringAlarm
leak-49-4: MainActivity.setRecurringAlarm
leak-47-4: MainActivity.setRecurringAlarm
leak-46-4: MainActivity.setRecurringAlarm
leak-45-4: MainActivity.setRecurringAlarm
leak-44-4: MainActivity.setRecurringAlarm
leak-43-4: MainActivity.setRecurringAlarm
leak-42-4: MainActivity.setRecurringAlarm
leak-41-4: MainActivity.setRecurringAlarm
leak-40-4: MainActivity.setRecurringAlarm
leak-39-4: MainActivity.setRecurringAlarm
leak-38-4: MainActivity.setRecurringAlarm
leak-65-5: MainActivity.CancelAlarm
leak-64-5: MainActivity.CancelAlarm
leak-63-5: MainActivity.CancelAlarm
leak-60-5: MainActivity.CancelAlarm
leak-55-5: MainActivity.CancelAlarm
leak-54-5: MainActivity.CancelAlarm
leak-53-5: MainActivity.CancelAlarm
leak-52-5: MainActivity.CancelAlarm
leak-51-5: MainActivity.CancelAlarm
leak-50-5: MainActivity.CancelAlarm
leak-49-5: MainActivity.CancelAlarm
leak-47-5: MainActivity.CancelAlarm
leak-46-5: MainActivity.CancelAlarm
leak-45-5: MainActivity.CancelAlarm
leak-44-5: MainActivity.CancelAlarm
leak-43-5: MainActivity.CancelAlarm
leak-42-5: MainActivity.CancelAlarm
leak-41-5: MainActivity.CancelAlarm
leak-40-5: MainActivity.CancelAlarm
leak-39-5: MainActivity.CancelAlarm
leak-38-5: MainActivity.CancelAlarm
leak-65-6: MainActivity.run
leak-64-6: MainActivity.run
leak-63-6: MainActivity.run
leak-60-6: MainActivity.run
leak-55-6: MainActivity.run
leak-54-6: MainActivity.run
leak-53-6: MainActivity.run
leak-52-6: MainActivity.run
leak-51-6: MainActivity.run
leak-50-6: MainActivity.run
